Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 312317

a	7460368
Abel	28816
Abiut	6403
Abiya	9605
Abraham	406638
Adam	60835
Adi	6403
Agabus	9605
Agripa	64037
ahahay	25615
Ahas	6403
aheyr	140882
ahney	124873
ahre	22413
Aikoniam	28816
ain	35220
Ainias	12807
aio	304178
Aio	957360
aiopey	1482468
Ais	208121
Aisaia	89652
Aisak	73643
aka	9605
Akaia	38422
akiaup	22413
Akim	6403
akin	6403
akre	278563
akwa	28816
Akwa	38422
Akwila	28816
Aleksander	19211
Aleksandria	12807
Alfius	16009
alta	115267
am	70441
ama	128075
Ama	617961
ame	249746
Ami	6403
Aminadap	12807
amkueyn	6403
amnok	64037
amnuw	25615
Amo	6403
amor	105661
Amos	6403
ampok	176103
ampru	76845
ampruheir	6403
amsaw	6403
an	12807
Ana	6403
Ananaias	57633
Anas	19211
Andru	48028
ane	12807
anio	358610
anka	19211
ankin	3992738
anok	563530
anon	1136665
ansiaw	19211
Antiok	118469
anwaw	112065
anweyr	25615
anyan	67239
Ap	19211
apau	99258
apaw	67239
apay	19211
Apolos	38422
aposel	582741
ar	8222415
ara	845295
arakwon	73643
arar	252948
araw	3301133
arawh	307380
Arebia	9605
arei	73643
Areopagus	9605
arian	1914721
Arimatea	12807
Aristarkus	16009
ariy	22413
Arkipus	6403
arnak	22413
Arni	6403
arnuw	12807
Aron	16009
Arpaksat	6403
Artemis	22413
aru	12807
arupey	12807
aryar	25615
Asa	6403
Aser	6403
Asor	6403
Asos	12807
Atalia	6403
Atens	28816
Atmin	6403
aua	80046
aun	9605
aw	9695277
Awaio	6403
awaw	573135
away	25615
awia	211323
awndiy	86450
awnie	249746
awor	16009
awp	6403
awriy	12807
awruw	35220
ay	3093011
ayah	16009
ayaw	454666
ayay	2753612
aye	57633
aymarowh	51230
aynou	32018
Babilon	67239
Balak	6403
Balam	19211
bali	6403
Barabas	38422
Barnabas	182506
Barsabas	6403
Bartimeus	9605
Bartolomyu	12807
bek	6403
Belsebul	25615
Benjamin	12807
Beria	28816
Bernaisi	9605
Betani	48028
Betesda	6403
Betfage	9605
Betlehem	35220
Betsaida	32018
bis	6403
bisnis	92854
Bitinia	6403
Blastus	6403
Boas	12807
bokis	9605
Bokis	9605
bras	16009
buk	9605
bulmakau	92854
Damaskus	57633
Dekapolis	9605
Demas	9605
Demitrius	19211
