Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 266560

a	1834483
à	1054171
â	24129651
ã	3361344
aa	2247148
aà	326380
àà	1095438
ââ	2641056
âã	1733193
ãã	2029561
aåanbi	225090
aabi	60024
aadansâ	11254
aade	210084
aadu	30012
aafonte	7503
Aafonte	26260
aakala	11254
aakâma	30012
aako	26260
aakûn	105042
aalâ	7503
åala	7503
åalagæ	93787
åalagælâ	7503
aalô	15006
aalogyi	18757
aamænlâ	67527
aan	123799
âân	270108
åan	11254
aana	45018
aanæ	41266
aanataga	7503
åanlâ	75030
aanobi	37515
aanundu	11254
aanyan	26260
aanyun	41266
âåôô	15006
aåorobi	71278
Aaron	18757
aasan	60024
aasaranyan	18757
aasele	11254
aasô	52521
aate	75030
aatinkere	7503
aaturu	45018
aawôlôn	138805
åàwü	7503
aaya	7503
aayo	60024
âbâ	4182923
abââ	2022058
abalan	7503
âbalanæ	11254
abanba	7503
abansûrû	11254
Abeli	22509
abengyi	52521
abi	322629
abinbilin	7503
Abiraam	476440
Abiwudi	7503
Abiya	7503
abo	33763
âbû	7503
abùrùbùrù	30012
âdæ	120048
adææ	15006
âdæyâlâ	15006
Adam	75030
adansâ	93787
adawû	26260
ade	10492947
adebi	37515
adebila	60024
adenden	11254
Adi	7503
adima	75030
Adimin	7503
adinbi	18757
âdîrã	22509
Âdõ	15006
adûlâ	22509
æ	8459633
æåârâ	33763
ææ	1226740
ææn	412665
æåûn	52521
æåûû	7503
ædû	15006
ægbaa	82533
ækæ	1144207
ækâma	37515
ækan	15006
ækankæ	7503
ækpaa	52521
ækpââran	7503
ækpæn	11254
ækpûlô	15006
ækûlæ	63775
ækûn	120048
æn	1613145
ænaa	11254
ænænfa	187575
ænûn	48769
ænyôô	112545
æpanpan	18757
æpôræ	7503
æsan	52521
ætan	15006
ætôkô	348889
æya	7503
afa	97539
âfa	22509
afænaa	30012
afala	371398
Afasadi	7503
afiye	641506
afufon	41266
afuli	11254
âfûnlâ	37515
afûræ	11254
afûû	15006
afwâ	18757
afwe	11254
Aga	7503
Agabo	7503
âgæ	60024
agbarægbaræ	78781
Agiripa	37515
agoo	15006
Agya	15006
agyan	7503
âgyangbasâlâ	11254
Âgyangbasâlâ	15006
agyebi	22509
agyu	18757
akæ	337635
âkæ	3927821
âkælæn	243847
âkala	11254
akâlâlâ	63775
âkâmalâ	26260
