Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 237814

a	8409
A	12614
A.D	54664
aatama	4204
aatihɨ	4204
aatɨmawaayopo	12614
aatɨwɨmaitaapo	4204
aatɨwɨmapɨ	4204
aatɨwɨmawaayopo	4204
aaye	29434
Abaijaahomɨhiyaamɨ	4204
Abaisaaho	4204
Abaisaahomɨ	4204
Abaiyaatɨho	4204
Abaiyaatɨhomɨ	4204
Abaiyataaho	8409
Abaiyataahoai	4204
Abakukɨho	8409
Aberɨho	12614
Aberɨhoai	21024
Aberɨhomɨ	12614
Abirinihandɨ	4204
Abɨraahamɨho	298552
Abɨraahamɨhoaapɨhapɨ	4204
Abɨraahamɨhoai	163993
Abɨraahamɨhoaisamɨ	4204
Abɨraahamɨhoaisatɨ	8409
Abɨraahamɨhoaisunɨ	16819
Abɨraahamɨhoe	4204
Abɨraahamɨhoetapɨ	16819
Abɨraahamɨhohɨ	12614
Abɨraahamɨhomataiwɨ	4204
Abɨraahamɨhomatiyaatɨ	4204
Abɨraahamɨhomɨ	105124
Abɨraahamɨhomɨha	8409
Abɨraahamɨhomɨhinɨ	4204
Abɨraahamɨhomɨhiyaatɨtihɨ	4204
Abɨraahamɨhomɨsangi	4204
Abɨraahamɨhoŋe	12614
Abɨraahamɨhopɨ	12614
Abɨraahamɨhopunɨ	4204
Abɨraahamɨhounɨ	8409
Abɨraahamo	8409
Adaamɨho	37844
Adaamɨhoaapɨhapɨ	8409
Adaamɨhoaisɨ	4204
Adaamɨhoetapɨ	4204
Adaamɨhomɨ	25229
Adaiho	4204
Adaihomɨ	4204
ahaatɨ	4204
ahaihɨ	50459
ahaihɨhaare	4204
ahaihɨhaiwaare	4204
ahaihɨhaiwaaso	4204
ahaihɨhandɨ	8409
ahaihɨhapaare	8409
ahaihɨhate	8409
ahaihɨhiyaare	4204
ahaihɨhonyaasɨ	4204
Ahaihɨhura	4204
ahaiho	8409
ahaimbɨpa	63074
ahaimbɨpaamɨ	21024
ahaimbɨpaamɨhapa	4204
ahaimbɨpaamɨhatɨhɨ	4204
ahaimbɨpaapɨ	4204
ahaimbɨpaapɨto	4204
ahaimbɨpai	4204
ahaimbɨpaisangi	4204
ahaimbɨpaisatɨ	4204
ahaimbɨpaunɨ	4204
ahaimbɨpɨhɨ	12614
ahaindɨhandɨ	8409
Ahaingɨhoŋe	4204
