Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 182863

A	32811
Aa	38280
aakayan	38280
aamagan	10937
Aaron	32811
abaisan	27342
abaloyan	136714
abaritaan	257023
abel	437485
Abil	27342
abilang	21874
Abiyas	16405
abiyatan	10937
Abiyod	10937
ablasen	82028
Ablayan	21874
abok	109371
abowayan	21874
Abraam	508577
abyan	262491
Abyan	1547606
abyatan	32811
adaeg	10937
Adan	103902
adap	257023
adapan	21874
adar	153120
adayonaw	284365
Adi	10937
Admin	10937
aesekan	16405
agabaraen	16405
agabla	10937
Agabo	10937
agadar	1717132
agakay	120308
agalapet	601543
agalapeten	21874
agaleleng	10937
agaleng	87497
agalis	21874
agalisen	21874
agalitan	38280
agalwasi	27342
agamag	32811
agaman	60154
agana	54685
aganap	21874
agandog	76560
agani	92965
agapon	16405
Agar	10937
agarabang	10937
agarado	21874
agaron	10937
agasik	43748
agatang	43748
agateet	21874
agaway	388268
agawen	10937
agawit	76560
agawiten	27342
agay	109371
agayaw	125777
agayawen	38280
agayay	213274
agbaba	377331
agbabai	16405
agbagi	65622
agbait	10937
agbalaba	27342
agbalawas	27342
agbalay	459360
agbaliwan	60154
agbaliwanen	10937
agbangen	1356206
agbangsi	16405
agbanta	196868
agbaotismo	114840
agbaren	54685
agbarik	16405
agbarita	623417
agbarogi	21874
agbasa	60154
agbaw	32811
agbayad	103902
agbayo	10937
agbenglay	246085
agbenglayen	10937
agberya	158588
agbetang	21874
agbili	21874
agbilin	60154
agbintang	16405
agbobo	10937
agbogbog	16405
agboksongen	10937
agboktong	21874
agbolwat	32811
agbono	377331
agbora	16405
agbosli	38280
agboslot	38280
agbotog	16405
agboyaw	103902
agdagdag	21874
agdaing	174994
agdakep	32811
agdalagan	60154
agdalan	65622
agdalegdeg	10937
agdamay	289834
agdamit	32811
agdan	16405
ageleg	10937
agempet	109371
agesek	169525
ageyat	120308
agganti	10937
aggira	65622
aggisod	10937
agibalay	16405
agibaloy	38280
agibeng	10937
agibengbeng	10937
agibetang	27342
agibetek	43748
agibolalang	49217
agibolwat	10937
agiboswang	21874
agidang	54685
agidapo	49217
agigang	65622
agilayogan	21874
agimis	10937
aginanapan	10937
aginem	60154
agingat	218742
agipako	21874
agipalibay	21874
agipalpas	71091
agipanaw	371863
agipanawan	251554
agiplaong	2121807
agiplaongan	164057
agipolaw	10937
agisagalem	10937
