Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 248128

a	2978301
aai	8060
aalu	20150
aalusine	4030
aalusinge	4030
aalusiꞌa	4030
aalusou	8060
Aamaxetoni	4030
Aani	4030
aasila	32241
aavuavutilixu	16120
aavutilingenge	4030
aavutilixu	12090
aavutisi	4030
aaꞌalo	4030
aaꞌaloiꞌa	8060
aaꞌalomengi	4030
aaꞌaloxo	4030
aaꞌaloxu	44331
Aba	12090
Abadoni	4030
Adamu	52392
Ademini	8060
Adi	8060
Adolamitiami	4030
Adolia	4030
ae	48362
Ae	72543
aeni	24181
aesi	12090
aexingengi	4030
ai	8060
aiai	8060
aiaitenga	12090
aiaitengasiꞌa	4030
aiaitengaxu	8060
aiasou	4030
aiave	8060
aie	28211
aiemolu	4030
aiexu	12090
aii	4030
aiinu	8060
ailevinu	4030
ailiꞌi	664979
ailiꞌisi	8060
ailiꞌisiꞌa	4030
aingengi	4030
Ainiasi	12090
Ainon	4030
ainu	20150
aiooneꞌi	4030
aipiepiena	88663
aipiepienasi	4030
Aisaia	92694
Aisaki	80603
Aisakisi	8060
aisalilinoxu	4030
aisuxu	4030
aite	4030
aitenga	290172
aitengasi	8060
aitengasilo	4030
aitengasinge	4030
Aitengasinge	4030
aitengasixe	4030
aitengasiꞌa	4030
Aitengasiꞌa	4030
aitengasou	8060
aitengaxu	100754
aitengsou	4030
aitileli	12090
aitinu	8060
aitiu	4030
Aixipto	8060
Aixiputo	132995
Aixiputosi	4030
Akaia	44331
Akaiasi	4030
Akaikusi	4030
akaitoloneꞌi	4030
akaitolongengi	4030
akalakalavoi	4030
akalanu	4030
akalapuusinge	12090
akalavoi	12090
akalavoingengi	8060
akalikalipalaneꞌi	4030
akalipalanu	8060
akalu	4030
akalusou	44331
akamulineꞌi	8060
akasou	8060
akaukavu	32241
akaukavumengi	8060
akaukavunu	88663
akaukavunusi	4030
Akelao	4030
akelelixu	8060
Akeludama	4030
akilaka	108814
akilakasinge	20150
akilakasiꞌa	20150
akilisinge	12090
Akimu	8060
Akipasi	8060
akisilalanu	8060
akituꞌa	8060
akokoli	4030
akoli	8060
akolinu	40301
Akuila	32241
akukusaiꞌa	12090
akulukengengi	4030
akunoxu	4030
akusainge	4030
akusaiꞌa	16120
alaalai	4030
alaalavua	8060
alaaneꞌi	4030
alaanu	12090
alaele	16120
alai	382866
alaienge	4030
