Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 196061

Abia	20401
Abihud	10200
Abraham	683460
ada	867077
ada'ki	10200
ada'na	117310
Ada'na	494743
ada'naii	10200
ada'ta	40803
ada'taa	10200
Adam	112209
Adi	10200
Admin	10200
Agabus	10200
Agripa	56104
Äh	15301
aha	9568450
aha'mu	10200
aha'na	30602
ähä'na	10200
ahaa	25502
ahae	25502
ahaete	40803
ahai	831373
ahake	209118
ahakoa	81607
ahana	147913
Ahana	158114
Ahanaraka	20401
ahane	10200
ahang	413136
ähäng	20401
ahangnga	15301
ahante	25502
ahao	20401
aharaka	25502
Aharakaa	20401
aharakae	25502
aharakakoa	10200
Ahas	10200
ahe	10200
ahha	10200
ahhi	35703
ahhinna	10200
ahkalang	15301
ahsala	91808
ahtasa	10200
ahtasa'ku	20401
ahtasa'mu	30602
Äi	15301
aka	18499344
akaboi	30602
Akaboi	51004
akae	25502
Akae	30602
Akakae	10200
Akake	25502
akammu	96908
akana	244821
Akana	249922
akang	61205
akangki	20401
akangku	30602
Akangnga	10200
akanna	219319
Akarea	15301
Akhaya	45904
Akhim	10200
akinna	132611
Akwila	35703
ala	25502
alai	30602
Alai	35703
Alaia	10200
alaiia	15301
Alataala	13322384
Alataalaete	15301
Alataalaetee	25502
Alataalantoo	10200
Alataalarang	40803
ale	10200
Aleksander	25502
Aleksandria	20401
alemu	15301
alena	10200
Alfeus	25502
alipang	25502
alla	887478
alla'ki	20401
alla'mu	244821
alla'mua	357031
alla'na	1111898
alla'naii	158114
alla'ta	51004
alla'taa	20401
allinna	153013
allo	1968775
allona	331529
allong	35703
ambe	20401
Ambe	137712
Ambeki	15301
ambeku	35703
Ambeku	744666
Ambekuete'ne	10200
ambemu	35703
Ambemu	122410
Ambemua	10200
ambena	341730
Ambeta	204018
ambetaa	10200
Ambetaa	51004
Aminadab	20401
Aming	142812
amo	15301
Amon	10200
Amos	10200
ampo	5176960
Ampo	6375566
ampona	25502
ampuammu	30602
ampuang	10200
ampuanna	20401
ampungngii	25502
Äna	10200
änä	2392112
änä'ku	275424
änä'mu	91808
änä'na	1861665
änä'namingkea	10200
änä'namokoa	20401
Ananias	61205
andamu	15301
andana	1101697
andanaii	15301
ande	10200
andeammu	10200
andeang	499844
andeangki	10200
andeangku	15301
andeanna	51004
Andreas	71406
ane	45904
aneang	147913
aneanna	112209
ang	45847975
