Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 257283

a	15869684
á	58301
aábi	15547
Aaron	23320
ababi	27207
ababia	7773
ababode	7773
abáchoi	31094
Abadon	7773
abágui	34980
abai	89395
abape	7773
abasiji	11660
abasója	11660
abayode	11660
Abechugode	7773
abechuguedie	7773
abejnanie	7773
Abel	31094
aberé	19433
abéroyo	19433
abi	380903
Abías	11660
abichoi	11660
Abidi	7773
abío	62188
abipise	42754
abipísi	15547
abipíso	7773
Abiud	7773
abo	7773
abócho	19433
abode	108829
abotã́cho	27207
abóyo	15547
abóyoja	7773
Abra­ham	19433
Abraham	614109
abuedie	7773
abuja	50528
abujadie	15547
abujáraque	23320
abujárigui	11660
aca	19433
acacáninga	11660
Acacho	7773
acácho	27207
acãcho	42754
acã́cho	19433
acadape	7773
acade	27207
acadi	27207
acadíchoi	62188
acadie	42754
acadi­gode	42754
acadigode	726826
acadígui	11660
acadique	58301
acadisṍri	19433
acadisórone	23320
acaditigade	23320
acai	23320
acája	11660
Acája	11660
acáji	58301
acajnaqué	62188
acajnaquéo	15547
aca­jnaquéode	7773
acajna­quéode	77735
acajnaquéode	672411
acajnaquéringo	11660
acajnaquérique	7773
acangore	7773
acaque	11660
acarãi	7773
acarane	34980
acarãque	15547
acãraquéode	7773
acãre	7773
acárigui	11660
ácariji	15547
acasṍri	15547
acate	85508
acatecã­choi	7773
acatecãchoi	174904
Acatecãchopísi	7773
acatecã́ri	46641
acatígo	11660
Acáya	38867
acáyo	15547
acayoi	31094
acáyoja	27207
acayóji	27207
ácayoji	19433
Acaz	7773
acéite	89395
acéiteode	11660
Acéldama	7773
acha	19433
achaba	7773
achabode	7773
achachagúgode	7773
achaga	15547
achagába	7773
achajnai	7773
achajnáñoi	15547
achaminone	19433
achase	7773
achera­ngóri	7773
acherangóri	7773
acherangórone	7773
achẽre	23320
achieta	7773
acho	217659
achóguinaño	7773
Achópo	7773
achóyo	15547
acóraño	7773
acorásedie	23320
acotáyo	23320
acoté	120489
acotedie	11660
acotépise	15547
acoterachugode	31094
acotéraque	23320
acóyo	7773
acué	23320
acueyoi	155470
acueyopísi	15547
acueyopoi	7773
acunguésoñoi	15547
acusu	7773
Adan	81622
ade	11660
adébeque	15547
adi	361469
Adi	458638
Ádi	7773
adie	205998
adipísode	7773
adode	2335949
adóningacho	7773
adota	23320
adotáyo	151584
