Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 786521

a	11611895
à	217413
À	233941
aa	5085
Aa	10171
Aafadiba	5085
Aagɔbu	2542
Aagɔbun	3814
Aakiba	2542
Aakigii	5085
Aanɔɔ	2542
Aanɔɔn	25428
Aanɔɔwɔ	3814
Aapadi	5085
Aapadigibun	2542
Aapasadi	10171
Aasipu	2542
Aatasɛsi	15257
Aatasɛsin	10171
aawo	69928
Aawo	82642
Abarimun	6357
Abarimuɔ	2542
Abɛli	26699
Abɛlin	3814
Abɛnɛgo	12714
Abɛnɛgon	2542
Abi	2542
Abia	26699
Abian	3814
Abiasafu	5085
Abiataa	30514
Abiataan	6357
Abibu	5085
Abida	2542
Abidani	5085
Abiesɛɛ	5085
Abiesɛɛba	3814
Abiesɛɛban	2542
Abiɛli	2542
Abigali	22885
Abigalin	2542
Abihaili	2542
Abihailin	2542
Abihu	15257
Abimaɛli	2542
Abimɛlɛki	67385
Abimɛlɛkin	8899
Abinadabu	8899
Abinadabun	6357
Abinɛɛ	62299
Abinɛɛn	8899
Abinɔamun	5085
Abiramu	13985
Abisagi	5085
Abisai	34328
Abisailin	2542
Abisua	8899
Abiudu	2542
Abiya	6357
Abiyamu	5085
Abiyamun	2542
abɔ	2542
abɔru	13985
Abudi	2542
Abudiasi	20342
Abudiasin	5085
Abudiɛlin	2542
Abudoni	10171
Aburahamu	245384
Aburahamun	66113
Aburahamuwa	3814
Aburamu	64842
Aburamun	7628
Abusalɔmu	85185
Abusalɔmun	33056
Ada	6357
adama	1304478
Adama	3276454
Adamɛlɛki	3814
Adamu	17799
Adamun	5085
Adamuwa	2542
Adan	2542
Adari	5085
Adarin	7628
Adariɔ	3814
Adaya	10171
adɛrɔ	17799
adɛrɔn	3814
adɛrɔwɔ	3814
Adibɛli	2542
Adiɛli	2542
Adilain	2542
Adima	3814
Adiman	2542
Adina	6357
Adinin	3814
Adiriɛli	3814
Adoni	2542
Adonikamun	3814
Adoniya	35599
Adulamu	5085
Adulamugii	2542
Adulamun	3814
Adulamuɔ	2542
Adumimun	2542
Afɛki	6357
Afɛkiɔ	6357
Afɛnin	5085
Afɛniɔ	5085
Afiti	2542
Agaa	24157
Agabusi	2542
Agagi	8899
Agagigii	3814
agbaara	2542
agbara	7628
Agiripa	15257
Ahihudu	2542
Ahiludun	6357
Ahimani	2542
Ahira	5085
