Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 209531

a	32529792
Aba	9545
abada	305444
Abɛli	14317
Abiya	14317
Abiyu	9545
Adama	100223
Adamĩ	9545
Adi	9545
Agabus	9545
Agare	9545
Agripa	57270
aiwa	9545
Aiwa	711111
Akayi	52498
Akila	33407
Akim	9545
akuba	14317
Alazi	9545
Alekisãdire	42953
Aleluya	19090
Alifa	9545
Alife	28635
amina	9545
Amina	133631
Aminadab	19090
Amõ	9545
Amosi	9545
Ananiyas	52498
Andre	62043
ane	338852
Apakisadi	9545
Apolosi	42953
Apolosiyi	9545
Arã	9545
Arabi	9545
Aretime	23862
aridyana	9545
Arimate	19090
Arisipe	9545
Arisitake	19090
Arõ	23862
Asa	9545
Asi	104996
Asos	9545
Atali	9545
Atene	23862
Atiose	9545
Ãtiose	95451
awe	1069054
aweye	14317
aweyi	19090
awo	28635
Awo	62043
Aworɛ	104996
aye	33407
ayi	23862
Azor	9545
ba	954512
bã	334079
Baba	14317
babɛ	23862
Babilone	62043
bada	9545
bãfɔla	100223
bãfɔlɛ	19090
baga	124086
bahõ	186129
bãke	9545
bala	33407
Balame	14317
balazɔgɔre	66815
balo	47725
bana	66815
Banabasi	171812
banga	219537
bangane	52498
bangasye	14317
bara	1670397
baraa	9545
Barabasi	57270
Baraki	9545
Barasaba	9545
baratɛkwere	28635
baratɛkweta	33407
baratɛre	367487
baratɛrɛ	9545
baratɛta	501119
bare	238628
barika	2161971
barikadɛgɛbe	47725
barikadɛgɛsɔma	9545
barikadɛgɛta	9545
barikadɛgɛye	28635
barikadɛgɛyi	19090
barikamayi	14317
barikayerabe	14317
basyɛ	1279047
basyɛbasyɛ	9545
bata	14317
batatɛta	9545
Batelemi	19090
batize	381805
batizebe	38180
Batizeta	90678
baye	23862
bãyɛgɛ	38180
bayi	23862
bãyi	33407
be	8628794
bema	47725
bemae	209992
bere	1880390
berebere	33407
berebɛ	205220
Berenisi	9545
Berɛda	14317
Betani	62043
Betesayida	33407
Betifaze	14317
Betilehemu	38180
Beyelzebul	28635
beyi	9545
bɛ	839971
bɛ̃	143176
Bɛ̃be	9545
bɛ̃bɛ̃	19090
bɛlo	19090
bɛrɛ	797018
bɛrɛbɛ	14317
bɛrɛda	5168686
bɛrɛmasɔma	38180
bɛrɛmata	9545
bɛrɛno	9545
bɛrɛyi	9545
bɛri	1866072
