Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 171052

Abadoni	5846
Abaiya	5846
Abiline	5846
Adama	87692
Adamaina	5846
Adamina	11692
Adi	11692
Adilamitio	5846
Agabu	17538
Agalipa	87692
Aimenio	11692
Ainoni	5846
Aisake	152000
Aisakemo	5846
Aiseya	122769
Aiseyaina	5846
Akaya	70154
Akeiko	5846
Akeladama	5846
Akuila	52615
Alebiya	11692
Alekeleo	5846
Alekisana	29230
Alekisanaina	5846
Alekisanidela	23384
Alesitasi	5846
Alikipo	11692
Alimatiya	23384
Alipiyo	29230
Alisitako	29230
Alisitobulo	5846
Aliyopago	11692
alowesi	5846
Amagedoni	5846
Aminadaba	23384
Amipiliya	5846
Amipipoli	5846
Amoni	11692
Ana	11692
Anai	11692
Ananaiyasi	70154
Ananaiyasiina	17538
Anasa	35077
Andulu	70154
Anduluina	11692
anelose	537848
aneloseina	298154
aneloseyao	391693
aneloseyedi	81846
Anidaloniko	5846
Anitioki	169539
Anitipasa	5846
Anitipatili	5846
Apakisadi	11692
Apaloni	5846
Apeli	5846
Apio	5846
Apiya	5846
Apoloniya	5846
Apolosa	81846
Apolosaina	17538
Aseli	11692
Asinikilito	5846
Asosi	17538
Asota	5846
Atalaya	5846
Ateni	35077
Atimasi	5846
baa	5846
babada	70154
babadaedi	81846
babadao	485232
babadaowedi	81846
babadega	5846
babaitaisoina	5846
Babiloni	87692
babitaiso	140308
babitaisodi	11692
babitaisodiya	5846
babitaisogau	17538
babitaisogemi	29230
babitaisogo	5846
babitaisogomi	17538
babitaisoina	29230
babitaisomaiya	5846
babitaisowedi	23384
babitaisowediya	35077
babitaisowega	11692
babitaisowegomi	11692
babitaisoweya	11692
babitaisoya	23384
bada	298154
Bada	2753548
Badae	11692
badaegau	5846
Badaegau	5846
badaegomi	5846
badaeya	23384
badaina	274770
Badaina	526155
Badamo	5846
badao	17538
badi	11692
bado	5846
bagi	11692
bagodu	64307
bahobaho	5846
baibaiwa	543694
baibaiwada	5846
baibaiwadi	1256927
baibaiwami	23384
baibaiwana	730771
baibaiwanamo	5846
bailidi	5846
Balaba	64307
Balabaina	5846
balabala	52615
Balabasa	5846
Balabasaina	5846
balae	35077
balaeyao	5846
balaeyega	40923
balaheya	11692
balahu	5846
balaina	5846
Balakaya	5846
Balaki	5846
Balami	23384
Balamiina	5846
baledi	5846
balediya	5846
