Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 219567

a	130206269
Aa	9108
Aaron	22772
ab	18217
abbaa	31880
Abel	22772
Abija	13663
Abiud	9108
Abiyata	9108
Abraham	396234
Achɩm	9108
Adama	45544
Agabus	9108
Agripa	54653
Ahajɩ	9108
Ainɩyas	13663
ajienaa	109306
Ajienaa	159404
Ajor	9108
Akaya	45544
Akuila	31880
ala	5460747
Aleksanda	22772
Aleksandiriya	18217
Alfayasɩ	22772
Aminadab	13663
amɩne	337026
Amɔn	9108
an	2008498
ana	36435
anaar	314254
Ananias	59207
Anasɩ	18217
Andiru	63761
aniin	77425
Antiok	95642
anũu	250493
anyã	601183
anyãna	1653253
aŋmɩnɛ	40989
Apolosɩ	54653
ara	1338999
Arabɩya	13663
Aram	13663
Archipus	9108
Areyopagusɩ	13663
Arimatɩya	18217
Aristakus	22772
Asa	9108
Aserɩ	9108
Asɩya	86533
Asosɩ	9108
ata	610292
Ataliya	9108
Atemisɩ	22772
Atensɩ	27326
ayi	1434641
ayir	9108
ayopõi	432669
ayʋɔb	91088
ba	31539347
bã	31880
baa	1279791
bãa	68316
Bãa	118414
baal	268710
baala	91088
baalaa	36435
baalsɩ	168513
baar	1175039
baaraa	296037
baarfʋ	364353
babãma	13663
Babilon	54653
bãbɩ̃	9108
badaba	27326
badʋʋ	9108
baka	18217
bal	277819
bala	5679359
Balaam	13663
balbʋrsɩ	13663
balfʋ	27326
balfʋsɩ	13663
balsɩ	18217
bãma	9108
bamɩne	1334444
ban	4800357
Banabasɩ	173067
banyã	141186
banyãna	555639
bar	3069678
bãr	31880
bara	118414
bãra	18217
baraa	109306
bãraa	13663
Barabasɩ	59207
barfʋ	18217
barmɩne	186731
Basabasɩ	9108
Batolomi	18217
bawõno	13663
bawõnsɩ	63761
be	10816743
Beeljebul	31880
befʋ	86533
ben	1370879
bẽne	9108
Benjamin	18217
ber	528312
Beriya	22772
Bernisɩ	13663
Betanɩ	63761
Betefagɩ	13663
Betɩsaida	31880
bɛ	31880
bɛ̃bɛlbɛ	13663
bɛchaar	159404
bɛɛr	282373
bɛɛrɛ	13663
bɛɛrkaa	18217
bɛl	150295
bɛlɛ	81979
bɛlfʋ	81979
bɛlʋ̃	18217
bɛr	22772
bɛrɛ	54653
bɛrma	81979
bɛrmɛ	13663
Bɛtɩlɛhɛm	40989
