Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 242162

a	33770781
á	111495
ab'a	805246
ab'abe	177567
ab'abere	132142
ab'achaane	12388
ab'achichi	8258
ab'ahe	569866
ab'amin	256026
ab'ánētèn	61942
ab'Atabuchi	396428
ab'Átabuchi	8258
ab'ayung	12388
Ab'ayung	28906
ab'e	7978130
ab'é	317968
ab'è	45424
ab'ē	49553
ab'Ebefutang	8258
ab'ebwatung	24776
ab'echicho	396428
ab'ekaani	70200
ab'eni	313839
ab'eniom	28906
ab'enye	8258
ab'enyiche	37165
ab'enyinye	41294
ab'i	1102567
ab'í	20647
ab'ì	20647
ab'iben	12388
ab'Íbetseda	8258
ab'ibubwam	8258
ab'ichia	115625
ab'ichicho	210602
ab'ichiichwan	20647
ab'Ídamaskus	8258
ab'ide	20647
ab'Ide	24776
ab'idieha	78459
ab'idyang	20647
ab'Ígalili	12388
ab'īgbàkòbò	12388
ab'ígold	8258
ab'iha	24776
ab'Íjerusalem	12388
ab'Íjipt	8258
ab'Ijisos	70200
ab'Ijon	16517
ab'Íjudia	8258
ab'Ijuus	24776
ab'Íjuus	16517
ab'ikaani	16517
ab'Íkapanium	8258
ab'Íkorajin	8258
ab'Ikraist	20647
ab'íkú	12388
ab'Ílayodisia	12388
ab'Imosis	24776
ab'ine	41294
ab'Íninibe	12388
ab'inyamfo	49553
ab'īnyàḿfō	16517
ab'īpì	20647
ab'Ipol	33035
Ab'Ipol	8258
ab'irichi	8258
ab'ìrìchí	12388
ab'irichia	16517
ab'īrīchòm	8258
ab'irifo	152790
ab'īrīhèn	8258
ab'īrīhùng	41294
ab'irinyom	8258
ab'irityem	12388
ab'íríwū	57812
ab'Írom	12388
ab'Isolomon	8258
ab'Ísrael	12388
ab'itambana	20647
ab'itambin	94977
ab'ītàng	8258
ab'itim	12388
ab'itung	8258
ab'ityang	45424
ab'iwaabo	8258
ab'iwiri	8258
ab'iwon	16517
ab'íyé	652455
ab'íyíá	8258
ab'm	107366
ab'maa	198214
ab'o	169308
ab'Okataa	90848
ab'ūbàng	70200
ab'úchōm	8258
ab'ūchù	28906
ab'údyàrà	45424
ab'ujim	8258
ab'ukaani	8258
ab'Ukaani	16517
ab'umo	8258
ab'unaa	8258
ab'Unaa	28906
ab'Ūnyāng	8258
ab'únyèrē	8258
ab'uwuuwum	8258
aba	94977
abakpa	20647
abana	846540
