Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 157477

a	33363602
á	11036532
à	51747239
ã	69851
aafia	425458
aafiaa	127002
aafiaan	12700
aafiaao	76201
aafiade	57151
aafiaro	12700
aakↄ̃	469909
aakↄ̃de	298456
aakↄ̃den	38100
aakↄ̃deo	19050
aakↄ̃mɛ	19050
aakↄ̃n	12700
aakↄ̃nↄ	31750
aami	44450
Aami	133352
Abia	19050
abire	241305
Abire	1727236
abirekũ	457209
abirekũla	95252
abirekũlan	12700
abirekũlaro	12700
abirekũn	31750
abirekũnↄ	19050
abirenↄ	12700
abireo	254005
Abiudu	12700
Adamu	69851
Adamun	12700
ade	457209
adenɛ	57151
adeo	12700
adi	2387650
adì	654063
ádi	463559
àdi	3594175
adìgↄ̃	50801
àdigↄ̃	533411
adikĩna	25400
adikũ	12700
ado	298456
adomɛ	19050
adona	304806
adonamɛ	31750
adonlo	57151
adoro	171453
adua	679464
aduakɛkpɛ	177803
aduakɛkpɛdenↄnɛ	12700
aduakɛkpɛn	152403
aduakɛkpɛnↄ	88901
aduakɛna	38100
aduakɛnaa	44450
aduakɛnaaa	25400
aduakɛnaao	44450
Agabu	12700
Agaripa	69851
ágba	38100
ágbai	12700
àgↄ̃	2501952
Ainɛa	12700
akãa	50801
Àkãa	12700
akãamɛ	31750
ákↄ̃nↄ	1047772
ákↄ̃nↄmɛ	44450
Ákↄ̃nↄmɛ	50801
Akila	12700
Akilao	12700
Akilaooa	12700
Akimu	12700
àkpatii	19050
akũ	18377286
àkũ	196854
Àkũ	317506
àkũmɛ	165103
Àkũmɛ	196854
akuri	69851
akũsↄ̃	1536732
Alafa	19050
Alafeu	31750
Aleluya	25400
àlesi	19050
alɛdɛ	25400
Alɛdɛ	25400
alɛdɛdãrinↄ	19050
alɛdɛnↄ	31750
Alɛsanda	19050
Alɛsandao	12700
Alɛsandaria	19050
ama	2374949
Amↄ	19050
Amↄsi	12700
Aminadabu	25400
ãn	88901
Ãna	19050
Anania	63501
Anasa	31750
andunia	1930440
anduniaa	50801
anduniaaa	12700
anduniai	25400
anduniakatɛna	25400
anduniala	25400
andunian	19050
andunianɛ	44450
anduniao	25400
Anduru	25400
andurufu	133352
andurufuuo	25400
Anduruo	31750
anfãni	19050
ani	3136966
áni	1295427
ania	76201
anigↄ̃	393708
ánigↄ̃	133352
ãnn	44450
annabi	412758
