Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 264019

a	1776387
Abadon	3787
Abaisa	11362
abaŋ	56814
abaŋi	151504
Abel	34088
Abelin	3787
Abiata	3787
Abis	7575
Abiud	7575
Abraham	503751
abuŋ	7575
abuŋgaci	3787
ac	481025
acgatu	113628
acsalô	374973
Adam	56814
Adi	3787
adômbwi	3787
Adramitiam	3787
Adria	3787
aê	11362
Aêc	200743
Aenias	11362
Aenon	3787
Agabus	7575
agatê	3787
aget	3787
agoc	22725
Agripa	64389
agulu	3787
agwa	15150
Ahas	7575
ahê	299220
ahêdaêm	3787
ahêgo	106052
aheŋ	121203
ahi	7575
ahic	15150
aho	3787
ahoc	238619
ahôc	261344
ahoŋ	11362
ahôŋ	30300
ahu	363610
ahuc	1333237
Aikoniam	30300
ailot	3787
ain	34088
ais	11362
Ais	189380
Aisak	94690
Aisaya	113628
akac	102265
akam	26513
Akaya	41663
Akayakus	3787
ake	7575
akêcsia	3787
Akelaus	3787
Akeldama	3787
akêŋ	3408845
akic	3787
Akim	7575
akiŋ	1946829
akiŋkwa	3787
akip	15150
Akipus	7575
akô	87114
akôc	890087
akôm	1446865
akôp	7575
aku	26513
akuc	7575
akwa	674193
akwê	26513
akweŋ	45451
akweŋi	7575
Akwila	30300
alac	34088
alau	3787
alêc	3787
alêkoc	3787
Aleksanda	18938
Aleksandria	15150
alhabêc	3787
Alhabêc	7575
alhac	378760
alhö	136353
ali	117415
alic	988565
alim	7575
aliŋ	45451
alö	11362
aloc	22725
alom	22725
Alpayas	18938
alta	113628
alu	276495
Aluê	22725
am	7173726
Amagedon	3787
amalac	3787
amam	136353
amaŋ	238619
amaŋatu	7575
amaŋdaŋ	109840
amaŋlu	68176
amaria	3787
amasaŋ	155291
amasec	7575
Amasec	7575
amasuc	11362
amata	3787
amati	11362
amatiŋ	11362
amatôc	60601
amba	814335
ambac	60601
ambalaŋ	3787
ambaliŋ	3787
ambo	965839
ambu	41663
ambuc	3787
ambulu	3787
ambwac	7575
ambwala	7575
ameŋ	212105
ametis	3787
Aminadab	11362
amlhi	7575
amlu	253769
Amon	7575
Amos	11362
ampi	3787
ampiŋ	56814
Ampipolis	3787
Ampliatus	3787
ampwic	3787
Ampwic	3787
amwasiŋ	26513
Ana	15150
Ananias	64389
Anas	26513
andac	132566
andi	382548
andic	287858
andiŋam	30300
