Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 245529

á	8145
Á	24437
aa	28509
Aarón	28509
Aarórẽ	8145
ábatapeticoasuparã	12218
Abel	36655
Abere	8145
Abías	12218
Abiud	8145
Ãboco	8145
ãbocu̶	52946
Abraham	484667
Abrahãrẽ	138476
ábujiou̶	8145
ábujiou̶mi	8145
Acaya	44801
Acaz	8145
aceituna	16291
Acéldama	8145
acó	20364
áco	24437
ácó	12218
ãcõ	16291
ácoa	12218
ácoabujiou̶mi	8145
acoácú̶ja	12218
ácoagu̶	16291
acoámí	65165
acoámó	12218
acoápú̶	65165
acoásúparã	130330
acoásúpu̶	244370
acoátí	8145
ácója	20364
acú̶	199569
ácú̶	281025
ácu̶	219933
ãcũ̶	509104
acu̶acoagarãma	20364
acu̶acoama	20364
acu̶acoapu̶	8145
acu̶acoasuparã	93675
acu̶acoasupu̶	16291
acu̶aeticõãña	28509
acu̶anetõcoasuparã	8145
acu̶ari	44801
acú̶ati	8145
ácu̶ati	57019
ácú̶ja	191423
ácu̶mi	28509
ãcũ̶mi	232151
acu̶orije	12218
acú̶pu̶	12218
ãcũ̶pũ̶	12218
ãcũ̶pũ̶na	20364
ãcũ̶rẽ	12218
acurewiyojo	32582
acurewiyojowĩ	16291
acurewiyojoya	8145
acurewiyojoyupu̶	12218
acurocawiyojo	8145
acuwiyo	12218
Adán	52946
Adárẽ	16291
ade	8145
Ade	24437
Adi	8145
Admin	8145
Agabo	24437
ágaetiyati	8145
áganucũmiña	12218
Agar	20364
ágarã	40728
ágarãma	32582
ágatũ̶goñaña	8145
ágaya	16291
Ago	36655
Agripa	52946
Agripare	28509
águ̶	150695
águ̶mi	16291
ájãã	12218
ájããñuparã	8145
ájããñupũ̶	32582
ájããrĩ	16291
ájããrotiri	8145
ájããwĩ	8145
ájũ̶go	8145
ájũ̶gorotiyupu̶	12218
ájũ̶goyupu̶	8145
Alejandría	16291
Alejandro	24437
Alfa	12218
Alfarero	8145
Alfeo	20364
altar	114039
áma	40728
ámá	28509
ãma	207714
Amargura	8145
ãmarõ	276953
ámasĩẽcũ̶mi	8145
ámasĩẽtĩña	36655
ámasĩjũ̶goyupu̶	8145
ámasĩña	16291
ámasĩñama	8145
ãmata	20364
ãme	582415
ãmea	44801
Ãmea	48874
ãmeacã	32582
Ãmeacã	32582
ãmebojayami	8145
ãmeeticõãña	12218
