Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 304248

a	58590360
ä	631064
Aarón	19720
Abías	9860
Abiud	6573
Abraham	473298
Acaya	39441
Acaz	6573
aceite	69022
Adán	62449
Adi	6573
Agabo	6573
Agar	9860
Agripa	46015
Alejandría	13147
Aleluya	13147
Alfeo	16433
amigo	6573
Amigo	16433
Aminadab	13147
Amón	6573
Amós	6573
an	1025479
Ananías	49301
Anás	16433
Andrés	46015
Angel	16433
ángel	788830
Antioquía	69022
Antipas	6573
Apolo	29581
Apolos	19720
Aquila	23007
Aquim	6573
Arabia	9860
Aram	13147
arca	6573
Areópago	9860
Arfaxad	6573
Arimatea	13147
Aristarco	13147
Arquipo	6573
Asa	6573
Aser	6573
Asia	69022
Asón	6573
Atenas	23007
Augusto	16433
Azor	6573
azufre	26294
Babilonia	59162
Balaam	13147
banco	6573
barco	486445
Barjesús	6573
Barrabás	39441
be	19720
Beelzebú	29581
Belén	29581
Benjamín	9860
Berea	16433
Bernabé	131471
Bernice	9860
Betania	46015
Betfagé	9860
Betsaida	23007
Bitinia	6573
Booz	16433
ca	49117824
ca'lä	6573
Caifás	36154
Caín	16433
Cainán	13147
calle	52588
camello	19720
can	10205490
Caná	23007
Canaán	6573
candil	16433
canto	16433
Capadocia	6573
Capernaum	59162
carro	19720
cebada	9860
Cefas	6573
cen	6573
Cencrea	6573
censo	9860
César	6573
Cesarea	59162
cha	1985222
chan	1045199
che	1140516
chi	10872709
chin	1889905
Chipre	29581
ci	65735
Cilicia	23007
circuncidar	128184
circuncisión	42728
Cirene	23007
Claudio	6573
Cleofas	6573
co	2774052
comandante	98603
con	9101128
consejo	6573
contra	460150
Corazín	6573
Corinto	29581
cornalina	6573
Cornelio	55875
Cosam	6573
Creta	26294
Crispo	6573
Cristo	2981120
cru	364833
cu	2389498
cua	6843101
cuan	1078067
cuartel	19720
cue	1442901
cuë	1883332
cuën	1492203
cuenta	29581
cuento	9860
culto	9860
cuo	7240803
da	210354
Da	262943
Damasco	49301
Decápolis	9860
Demas	9860
Demetrio	16433
denario	29581
Derbe	13147
diamante	6573
Diana	19720
divorcio	6573
Dorcas	6573
e	73256027
ë	2954826
Efeso	69022
Egipto	124898
Eleazar	6573
Elí	13147
Eliaquim	13147
Eliezer	6573
Elimas	9860
Eliud	6573
Elmodam	6573
Eloi	6573
Emanuel	6573
en	414135
