Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 125724

а	12169514
Аарон	15907
ава	55677
аваж	47723
аваже	286341
аважлан	71585
аважым	119308
аважын	55677
авалта	15907
авалташ	15907
авалте	23861
авалтен	159078
авалтенат	15907
авам	119308
Ават	31815
аватым	47723
авашт	55677
аваштлан	15907
Авва	23861
Август	31815
Авельын	23861
Авий	15907
Авиуд	15907
Авраам	421558
Авраамлан	95447
Авраамым	39769
Авраамын	190894
авырен	47723
Агав	15907
агаш	15907
аген	71585
Агриппа	103401
агымаш	15907
агытан	103401
агыше	95447
адак	389742
адакат	87493
адакшым	39769
Адакшым	55677
Адам	63631
Адамым	15907
ажгыненыт	23861
ажгынымым	15907
ажгыныше	15907
аза	63631
азам	143170
азан	15907
Азан	15907
азап	55677
азаплане	31815
Азор	15907
айдемат	39769
айдеме	2322547
айдемылан	206802
айдемым	286341
айдемын	628360
айдемына	15907
айдемынат	23861
айдемыш	15907
Айста	55677
айык	71585
ака	79539
акаже	15907
Акила	39769
Акилалан	15907
аклен	15907
акленыт	15907
аклыме	39769
акрет	31815
акше	15907
акыл	167032
акылан	79539
акылже	71585
акылжым	23861
акылым	39769
акылын	31815
акым	15907
ала	429512
алгаштара	47723
алгаштаралташ	15907
Алгаштаралташ	23861
алгаштаралтме	15907
алгаштараш	39769
алгаштаре	15907
алгаштарен	39769
Алгаштарымаш	23861
алгаштарынеже	39769
алгаштарыше	23861
але	2911138
алебастр	23861
Александр	39769
александрийысе	15907
Аллилуия	31815
алмаштеныт	15907
Алфейын	39769
Альфа	31815
алят	55677
амал	111355
амалдыме	15907
амалым	135216
амалышт	15907
Аминадав	23861
аминь	39769
Аминь	381788
Амон	15907
амыргыме	15907
амыргыше	47723
амырта	47723
амырте	31815
амыртен	31815
Ананий	95447
Андрей	79539
Анна	55677
Антиохий	23861
Антиохийыш	95447
Антиохийыште	23861
антихрист	31815
аҥ	15907
аҥа	15907
Аҥа	15907
аҥажым	39769
аҥам	15907
аҥан	31815
аҥашкем	15907
аҥашыже	15907
аҥжым	23861
аҥым	15907
аҥысе	15907
Аполлос	63631
Аполлосын	23861
апостол	15907
Апостол	588590
Апостолжо	119308
Апостоллан	47723
Апостолым	15907
Апостолын	15907
арака	31815
аракажым	39769
аракам	198848
аракамат	23861
аракаш	15907
арала	39769
аралалт	39769
аралалташ	15907
аралалтеш	15907
