Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 200886

a	6093007
a’leya	114492
Aarón	34845
Abel	29867
abi	19911
Abías	14933
Abiud	9955
Abraham	547574
ac	99558
ac’bi	14933
ac’bil	44801
ac’bilic	9955
ac’ob	29867
ac’on	24889
ac’ʌ	124448
ac’ʌla	9955
Ac’ʌla	9955
ac’ʌlel	433081
ac’ʌyob	9955
Acaya	54757
Acaz	9955
aceite	29867
actan	9955
Actan	19911
acuxan	14933
Adán	89603
Adi	9955
adiós	9955
Agabo	14933
Agar	9955
Agripa	59735
Aja	9955
ajacniyel	14933
ajcʌn	14933
ajin	74669
ajlel	19911
ajli	44801
ajñel	398235
ajñelob	24889
ajñen	14933
ajñenla	54757
Ajñenla	59735
ajni	104536
ajñibʌl	14933
Ajñibʌl	69691
ajnic	144360
ajñic	9955
ajnicob	9955
ajniyetla	19911
ajniyob	39823
ajniyon	19911
ajq’ui	79647
ajq’uiyetla	9955
ajq’uiyon	9955
al	89603
alas	44801
albil	169250
Albilix	9955
Alejandría	14933
Alejandro	39823
Aleluya	19911
Alfeo	24889
alob	124448
alobob	154316
alobon	29867
alol	9955
alt’an	24889
alʌ	238941
alʌc’ʌl	59735
alʌl	278765
alʌlet	9955
alʌlob	49779
alʌte	14933
alʌyob	19911
am	1986201
ame	736736
Amén	149338
Aminadab	19911
Amón	9955
Amós	9955
amʌy	29867
an	4400505
Ana	9955
Ananías	84625
Anás	19911
anciano	14933
ancianojob	134404
Ancianojon	9955
Andrés	79647
añet	293698
añetixla	24889
añetla	612287
ángel	567486
ángelob	303654
anic	2095715
añic	9955
anix	253875
año	1677568
añob	776559
añobic	194139
añon	726780
añonixla	29867
añonla	99558
anquese	617265
Antioquía	109514
anto	268809
añʌch	59735
Apolos	64713
apóstol	29867
apóstolob	248897
apóstolon	64713
apóstolonic	9955
aq’ue	14933
aq’uebil	79647
aq’uebiletla	19911
aq’uebilic	9955
aq’uebilo	14933
Aq’uebilob	9955
aq’uebilon	59735
aq’uen	19911
Aq’uen	84625
aq’ueñetla	9955
aq’uenla	34845
Aq’uenla	144360
aq’ueñob	14933
Aq’ueñob	54757
aq’ueñon	19911
Aq’ueñon	39823
aq’ueñonla	9955
aq’uentelob	14933
aq’uenti	233963
aq’uenticob	14933
aq’uentiquet	19911
aq’uentiquetla	49779
aq’uentiyet	9955
aq’uentiyetla	64713
