Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 1030434

a	8383846
aahau	2911
aahawan	1940
aakalan	8734
aakan	17468
aala	114514
aalus	7763
aambalut	1940
aanau	1940
aangatan	1940
aantaban	4852
aanu	201856
aapung	1940
aarapadan	8734
aawu	1940
aawuk	12616
aayi	158185
ababak	4852
ababas	1940
abagalan	10675
abahagi	1940
abalabahan	4852
abangat	2911
abantalan	14556
abantug	98016
abarakatan	20379
Abarim	4852
abasa	1940
abasagi	3881
Abaya	1940
abayaan	45611
abayaran	4852
abayayat	9704
Abda	1940
Abdi	2911
Abdon	7763
Abia	33966
Abiatar	29113
Abib	4852
Abida	1940
Abidan	3881
Abidnigo	12616
Abigail	20379
Abihail	6793
Abihu	11645
Abihud	1940
Abil	9704
Abimail	1940
Abimilik	71814
Abinadab	13586
Abinoam	2911
Abiol	2911
Abiosor	8734
Abiram	11645
Abisag	4852
Abisai	32025
Abisua	4852
Abisur	2911
Abital	1940
Abnor	67932
Abraham	339662
Abram	75696
Absalom	105780
ada	3881
Ada	6793
adaai	3881
adaan	3881
Adai	2911
adala	5822
adalaan	158185
Adam	25232
Adar	13586
adato	8734
Adaya	8734
Adbiil	1940
adi	4852
Adin	3881
Adiol	2911
Adma	4852
Adna	3881
Adonia	36877
Adonibisik	2911
Adonikam	2911
Adoniram	3881
Adonisidik	1940
Adramilik	2911
Adriol	2911
Adulam	9704
Adumim	1940
agaan	22320
Agabus	1940
Agag	9704
agal	51434
agangau	26202
agayat	5822
agayo	780253
Agayo	1071393
agayo'ddi	39789
Agayo'dti	2911
Agripa	13586
Ahab	148481
ahaba	17468
ahadan	4852
ahago	1940
ahako	6793
ahandaman	18438
Ahas	47552
Ahasia	55316
Ahaswiros	19409
Ahawa	2911
ahawai	1940
ahawan	3881
ahawo	11645
ahawon	9704
Ahi	1940
Ahia	24261
Ahiam	1940
Ahihud	1940
Ahikam	5822
Ahilud	4852
Ahimaas	16497
Ahiman	3881
Ahimilik	19409
Ahimot	1940
Ahinuam	6793
Ahio	5822
Ahiosor	4852
Ahira	3881
Ahisamak	2911
Ahitopol	19409
Ahitub	12616
Ahohi	4852
Ai	46582
Ain	4852
ais	13586
aiso	2856078
Akaba	7763
akagasan	24261
akahas	2911
akalab	4852
akalan	5822
akambang	1940
akan	68903
akanan	59198
Akangan	1940
akano	14556
akanon	91223
akapal	18438
