Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 154024

a	51758167
Aaron	32462
abaa	64924
abaag	45447
abaala	162312
abada	12984
abadan	19477
Abadan	25969
abaè	19477
abam	90894
abama	45447
abaman	19477
aban	51939
abana	19477
abanda	38954
Abba	19477
abe	811561
abè	90894
abë	6836596
abèan	32462
abëbë	123357
abëbëgë	25969
abed	90894
abede	181789
abëdë	136342
abedëge	25969
abèè	12984
abëgë	292162
abëki	19477
Abel	25969
abëlan	110372
abële	25969
abëlë	1558198
abëlëgë	25969
aben	58432
abëṅ	350594
abende	337609
abendëge	19477
abi	201267
abia	45447
abie	38954
abii	64924
abim	370072
abimi	38954
abindi	19477
abindigi	19477
abisi	12984
Abiud	12984
abò	1993195
abòban	45447
abobod	51939
abobolo	58432
abòd	155819
aboda	19477
abodo	25969
abòdò	19477
aboe	38954
abog	2136030
aboman	12984
abombo	19477
abomë	12984
aboṅ	19477
abonde	12984
aboo	32462
abòò	272684
abòòg	110372
abòòlò	103879
Abraham	473952
abudi	25969
abug	51939
abui	3454007
abulu	25969
abum	331117
abyali	103879
abyandi	103879
abye	344102
Adam	58432
adaṅ	227237
adaṅa	45447
adi	305147
adiban	12984
adid	64924
adig	12984
adigi	12984
adii	19477
adili	12984
adiṅ	396042
adiṅi	110372
adu	19477
aduban	19477
adudu	25969
adug	58432
adugan	603802
adugu	12984
aduu	38954
aduuban	12984
adzaa	19477
adzaag	38954
adzaaga	12984
adzaè	64924
adzala	58432
adzalëban	12984
adzalëga	19477
adzaṅ	19477
adzèè	71417
adzëṅ	116864
adzëṅë	58432
adzie	19477
adzimbi	12984
adzo	2343790
adzòdi	38954
adzoe	129849
adzoege	32462
adzoge	45447
adzogo	25969
adzogobo	25969
adzoo	155819
adzòs	12984
adzu	12984
adzuugi	12984
afadi	38954
afan	331117
afaṅ	116864
afe	32462
afë	51939
afëb	19477
afèd	71417
afëdan	51939
afëdë	38954
afëlan	12984
afëm	19477
afidi	772606
afidigi	25969
afola	84402
afolo	12984
afòmbò	32462
afòṅòlò	12984
afu	194774
afub	409027
afubu	84402
afubugu	25969
afudi	51939
afuguzu	12984
afulan	58432
afumu	12984
afyal	19477
afyaṅan	103879
afyè	32462
Agabus	12984
Agar	12984
Agripa	71417
Aha	12984
ahama	19477
ahaman	12984
ahë	292162
ahëb	19477
ahëbë	32462
ahëlë	25969
