Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 949985

a	6754843
aa	21052
Aa	52632
aada	2105
aadụ	8421
aadụkwa	3157
aagọ	2105
aakpa	2105
Aanọduje	3157
Aanọje	2105
aanwụ	2105
aarị	5263
aasa	3157
aatụ	3157
aawhụ	2105
aba	26316
abaa	16842
abaarụ	36842
ababa	10526
abadụ	7368
abadụru	2105
abagude	5263
abahẹru	2105
abahụ	227372
abahụdu	3157
abahụkwa	9473
abajahụ	3157
abajẹeru	2105
abajẹkwaru	6315
abajẹru	2105
abakahụ	3157
abakashịhu	8421
abakashịhudu	2105
abakochi	4210
abakwarụ	7368
abalahaaru	11579
abalị	350531
abalịdegvu	5263
abara	24210
abaravuma	23158
Abarimu	8421
abarụ	83159
abata	236845
abatajẹhe	2105
abatajẹkwa	3157
abawhe	2105
Abáyija	31579
Abáyijamu	7368
Abedinego	15789
abẹe	2105
Abẹlu	12631
Abidanu	5263
Abíyudu	2105
abọ	9473
abọfu	2105
abọjekwa	2105
abọkwa	2105
abụ	89475
abụa	180002
abụbu	97896
Abụbu	110528
abubuhu	4210
Abuda	2105
Abudi	4210
Abudọnu	9473
abụdu	78948
abụhe	26316
abụhedu	10526
abụhekwa	12631
abụje	15789
abụkotaru	18947
abụkotawaru	2105
abụkwa	133686
abụkwaa	3157
abụkwanu	12631
abụkwanuru	4210
abụkwaru	14737
abụkwaruwho	32632
abụkwawho	2105
abụlekwaa	4210
abụleruwho	7368
abụlitaru	2105
Abụna	66316
abụnua	2105
Aburona	2105
abụru	834750
Abụsalomu	112633
abụshi	2105
abụwaa	2105
abụwaru	10526
abụwaruro	3157
abya	693695
abyaa	33684
abyabẹ	13684
abyabụdua	2105
abyabya	42105
abyadụ	231582
abyadụa	8421
abyahẹ	9473
abyahẹdu	6315
abyahẹkwa	3157
abyahụnu	2105
abyajẹ	2105
abyakfuta	73685
abyakfutadu	2105
abyakfutashia	3157
abyakọta	2105
abyakọtakwa	2105
abyakwa	112633
abyakwaa	13684
abyakwanụ	7368
abyakwawhọ	10526
abyanyi	2105
abyapyabẹ	2105
abyarụ	18947
abyashị	2105
Abyata	30526
abyatashia	8421
abyawaa	3157
abyazhidua	2105
abyi	3157
Abyibu	5263
Abyida	2105
Abyigelu	23158
Abyihelu	6315
Abyihu	12631
Ábyimelẹku	71580
Abyimẹlu	2105
Abyinadabu	14737
