Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 4495049

a	39599
A	61178
á	667
à	889
A:n	2892
A:sta	889
A:ta	2002
A4	2002
aa	3559
AA	3781
AAA	1557
Aada	3114
Aadolfin	667
Aage	1557
aakkoset	2002
aakkosjärjestyksessä	889
Aakon	667
Aakula	2002
Aale	1557
aalloilla	2224
Aallolle	667
aallon	2892
Aallon	10233
aallonharjalla	667
aallonpohja	667
aallosta	1112
Aallosta	1334
aallot	889
Aallot	1334
aalto	8898
Aalto	48052
aaltoa	2447
aaltoja	1334
aaltojen	889
Aaltola	4894
Aaltonen	15350
Aaltosella	667
Aaltoselle	667
Aaltosen	2002
aaltovoimaa	667
aamiainen	2002
aamiaiselle	1334
aamiaisen	2669
aamiaispöydässä	667
aamiaista	1779
aamu	15572
aamuinen	1112
aamuisen	2002
aamuisin	5561
aamukahdeksalta	1112
aamukahvia	889
aamukolmelta	667
aamukuudelta	667
aamukuuden	889
aamukuudesta	1334
aamukymmeneltä	667
Aamulaulu	889
Aamulehden	2002
Aamulehti	3559
aamulla	62958
aamun	34037
Aamun	73414
aamuna	40711
aamuneljältä	889
aamunkoitto	667
aamunsa	667
aamupalalla	667
aamupäivisin	1557
aamupäivä	889
aamupäivällä	48052
aamupäivän	8453
aamupäivänä	1334
aamurusko	667
aamuruuhkassa	667
aamuseitsemältä	1112
aamusin	1112
aamussa	667
aamusta	8008
Aamustudio	667
aamutuimaan	2002
aamuun	4226
aamuvarhain	889
aamuvarhaisella	889
aamuvieraana	667
aamuviideltä	1112
aamuyhdeksältä	1334
aamuyhdeksän	1112
aamuyhdeksästä	667
aamuyöllä	4671
aamuyön	1779
aamuyöstä	8453
aan	3781
Aapo	4894
Aapon	889
Aappo	1112
Aapro	3337
Aara	7563
Aaran	667
Aaras	1334
Aardal	1112
Aarma	1112
Aarne	14460
Aarni	1557
Aarnimetsä	889
Aarnio	9343
aarniometsän	1112
Aarnion	4671
Aarnios	667
Aarnipuro	1334
Aarnipuron	667
Aarnipuu	1112
Aarnivaara	1779
Aarno	2224
Aaro	3559
Aaron	1779
aarre	1112
Aarre	7563
aarreaitta	889
aarretta	667
aarteen	889
aarteiden	667
aarteita	3337
Aasen	667
Aasi	667
Aasia	1779
Aasiaan	8008
aasialaisen	889
aasialaiset	889
aasialaisia	1112
aasialaisten	667
Aasian	34704
Aasiassa	14015
