Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 255746

a	13529048
Aasi	7820
Aceni	23460
Adriu	50831
agilosi	770295
Aisake	82112
Aisea	86022
Akaia	35191
Akapo	7820
Akariva	46921
Akeimi	7820
Akuila	27370
Akusito	15640
Alekisada	23460
Alekisadria	15640
Aleluya	11730
Alifa	11730
Alifio	19550
Amenatave	11730
Ananaiasa	43011
Anasa	15640
Anitioki	89932
Apa	7820
Apaijia	11730
api	23460
Apiuta	7820
Apolosa	31281
Apolosi	11730
apositolo	383192
Arana	7820
Arapea	11730
Arimacea	19550
Arisitako	19550
asa	78202
Aseri	7820
Aso	7820
Asori	7820
Atama	50831
Atemisa	19550
au	9986470
au.ʼ	27370
aua	58651
baba	15640
baci	54741
bagi	19550
bai	74292
balata	7820
balavu	148584
bale	175955
balebale	246338
baleta	746834
baleti	496586
balumu	7820
baqe	7820
baravi	43011
basika	54741
basu	7820
basuka	7820
basuraki	7820
batabata	27370
bati	89932
batibasaga	15640
batidra	7820
batirua	7820
bau	727284
bauga	101663
beca	39101
beci	86022
beitaka	23460
beitaki	281529
beka	727284
beleti	7820
bera	348001
berabera	27370
bese	89932
besetaki	19550
bete	609980
betena	15640
biau	15640
bibi	179865
bikai	19550
bili	35191
biliraki	15640
bilo	148584
bini	15640
binia	15640
bitabitalaki	15640
bitalaki	11730
biti	7820
bitu	7820
biu	238517
biuta	430114
biuti	391012
bobo	7820
bobula	320630
bogi	277619
boi	66472
boko	11730
bokoca	109483
bokoci	168135
bolea	11730
bolebole	7820
boletaka	27370
boro	7820
boroya	11730
bose	35191
Bose	50831
bosea	27370
bosei	11730
botani	7820
bote	7820
botea	7820
boto	11730
bubului	160315
bubuluitaka	11730
buIa	7820
buidra	15640
buka	164225
bukawaqa	148584
bukete	31281
bukia	7820
bukiveretaka	7820
bukiveretaki	74292
bula	2381268
bulabula	11730
buli	297169
bulia	86022
bulu	58651
bulubulu	226787
bulumakau	82112
buluta	27370
buluti	31281
bure	11730
bureitaka	23460
burekalou	7820
buta	7820
butako	54741
butakoca	19550
butakoci	7820
buto	15640
butobuto	230697
butu	11730
butuka	7820
buturaka	15640
buturaki	11730
buturara	11730
ca	2330437
cabe	89932
cabocabo	74292
cabocabonisoro	11730
cabora	19550
cabori	7820
caca	35191
Caetira	11730
cagi	148584
cagina	11730
caka	719463
cakacaka	1262971
