Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 210222

a	1655392
á	19027
aeni	14270
Aeniasí	4756
Aeniasini	4756
Aeniasizo	4756
aenitunú	33298
Aeno	4756
agae	95137
Agae	99894
agahaisiló	4756
agahaisiuka	19027
agaka	4756
agapilamó	190275
agapilamoki	9513
agapilamokutí	9513
agapilamola	76110
agapilamolagi	9513
agapilamolaloka	4756
agapilamolatini	4756
Agapó	4756
Agaponi	4756
agasagitana	4756
agasaloka	4756
agasalokatí	4756
agasatunú	4756
agata	371036
agatagú	9513
agataló	33298
agataloka	76110
agatamú	4756
agate	4756
agatí	19027
agatupa	4756
agatupagi	52325
agatupagú	19027
agatupagutí	4756
agave	9513
agávolaga	4756
agávolagamaka	42811
agávolaho	47568
agávolahogó	14270
agávolahove	9513
age	371036
ageló	746829
ageloge	9513
agelogegi	14270
agelogini	28541
agelóini	4756
agelola	4756
agelolagi	4756
agelolahini	4756
agelolímini	14270
agelolímo	42811
agelolímohe	4756
agelolite	4756
agelolitini	4756
Agelolitini	9513
agelóma	9513
agelómámini	4756
agelómámo	42811
agelóne	14270
Ageloninite	4756
agelova	14270
agema	9513
Agémini	4756
agénahuna	4756
agénahunámini	4756
agepa	171247
agepáa	28541
agepagi	85623
agepagitana	4756
agepagó	4756
agepagú	85623
agepagut	4756
agepagutí	956132
agepaló	133192
agepalotí	4756
agepamaló	4756
agepamáminoko	4756
agepauka	4756
agepoka	841967
ageva	447146
ageváa	9513
agi	19027
agihúna	42811
agika	827696
agikáa	23784
agikáagú	4756
agikagi	9513
agikagú	618393
agikagukó	4756
agikagutí	128435
agikagutikó	4756
agikaló	4756
agikalokagó	4756
agikámini	19027
agikámo	4756
agikatunú	104651
agikauka	4756
agikaváa	4756
agila	195031
agiláa	4756
agilagi	4756
agilagó	9513
agilaló	14270
agilika	9513
agilikagú	4756
agilikaloka	109408
agilikalokatí	4756
Agilipá	47568
Agilipaga	19027
Agilipagama	4756
Agilipako	4756
Agilipani	4756
agínagú	4756
agínaló	4756
agisa	199788
agisáa	4756
agisagú	19027
agisaguki	4756
agisaló	28541
agisaloka	4756
agisatunú	4756
agisauka	104651
agisavagi	4756
agive	33298
agivegi	4756
agivelage	52325
agivelagegi	33298
agivelagini	52325
agivelaginimule	4756
agivelahiko	4756
agivelahini	52325
agivelahinihe	4756
agivelahinima	4756
agivelahinimú	19027
