Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 283101

Abia	14129
Abihud	7064
Abinadab	7064
Abraham	416812
Abrahamka	102436
Adam	67113
adati	204873
ade	837157
Adi	7064
Admin	7064
Agabus	7064
agama	448603
agamaka	24726
Agripa	52984
Ahas	7064
aheli	24726
ahelino	10596
ai	2843508
Ai	3037785
Aistagala	7064
ake	466264
akeka	21193
akeku	17661
akeye	7064
Akhaya	28258
Akhayaka	21193
Akhim	7064
aku	4206979
akuwa	261390
Akwila	21193
alamu	42387
Aleksander	21193
Aleksandria	7064
Aleksandriano	7064
Alfeus	17661
ali	14129
alo	42387
alu	14129
ami	823027
Amin	77710
Aminadab	7064
amo	17661
Amon	7064
Amos	7064
Ananias	45920
Ananiaska	7064
Andreas	45920
anggur	293181
anggurka	7064
ani	2115852
Antiokhia	49452
Antiokhiaka	70646
Antipas	14129
Apolos	49452
apongu	24726
ara	95372
Arab	14129
arata	257858
are	7064
Areopagus	10596
Aristarkhus	17661
Arkhelaus	7064
Arkhipus	7064
Arni	7064
Arpakhsad	7064
Artemis	17661
aru	10596
asa	12723374
Asia	52984
Asiaka	21193
Asiano	7064
Asitagala	49452
aso	10596
Asoska	7064
asu	102436
Asyer	7064
Atena	21193
Atenaka	7064
ato	42387
Ato	127163
aturu	24726
au	300246
auka	7064
auku	7064
awa	473329
awabira	45920
awadede	7064
Awadede	74178
awaka	28258
Awalele	56516
awi	6114425
Awi	12945909
ayati	10596
Ayoo	7064
Ayub	7064
Azor	7064
baba	830092
Baba	1518892
babaja	17661
babajaku	14129
babaka	42387
Babaka	109501
babano	7064
Babano	14129
Babel	81243
Babelka	7064
bahasa	240196
bai	1518892
baju	392086
baka	7064
bake	173083
bakeka	7064
bako	14129
balakama	7064
balastengi	134227
balo	24726
bane	7064
bangsa	233132
bangu	7064
bankka	7064
Bar	7064
Barabas	45920
barani	21193
baranika	17661
bare	38855
Barnabas	151889
Barnabaska	10596
baro	158953
barono	7064
Barsabas	7064
Bartolomeus	14129
baru	14129
basu	7064
bati	324972
batika	42387
batino	10596
bato	1010240
Beelzebul	24726
beleso	63581
Benyamin	7064
Benyaminno	7064
Berea	14129
Bereaka	7064
Bernike	10596
beseso	67113
besi	28258
Betania	38855
Betaniaka	17661
Betesda	7064
Betfage	10596
Betlehem	10596
Betlehemka	21193
beto	7064
Betsaida	14129
