Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 226982

a	9538201
aa	158602
Aaron	30839
aba	400912
Abba	13216
abe	8811
Abel	22028
abhaki	8811
abhɛ	22028
abhɛsiri	39650
abhondi	8811
abhondisi	8811
abhɔn	202659
abhɔngiri	35245
abhunziki	30839
abi	17622
Abia	17622
abisi	52867
Abiud	8811
abo	48461
Abraham	519865
abul	83707
adak	17622
Adam	66084
ade	1317285
Ademin	8811
Adi	8811
adol	22028
adon	39650
adonsi	13216
adung	1185116
adungnu	30839
afal	17622
afan	26433
afe	92518
afɛngsi	13216
Agabus	8811
agan	74895
Agar	17622
agba	202659
agbakiri	101329
agbasi	88112
agbɛ	105735
agbɛngsi	61678
agbin	8811
agbo	52867
agbosisi	61678
agdangsi	17622
agde	202659
agdongi	13216
agdɔki	44056
agdumsi	52867
agi	8811
agok	22028
agol	8811
agɔ	105735
agɔn	145385
Agripa	70490
agu	44056
agun	8811
aha	414129
ahe	17622
ahɛ	17622
ahɛl	26433
ahil	48461
ahɔ	101329
ail	8811
aing	400912
akafi	61678
Akai	44056
akan	35245
akapini	39650
akari	30839
akarsi	35245
akati	13216
akay	22028
Akaz	8811
akeri	26433
akɛ	22028
akɛtini	13216
aki	70490
akifi	8811
akifiri	158602
Akilas	30839
Akim	8811
akonzi	13216
akɔ	13216
akpa	312800
akpali	30839
akpasi	30839
akpasisi	79301
akpo	8811
akpɔtɛ	35245
akpɔy	8811
aku	123357
akundiki	8811
alak	79301
alanu	17622
albatre	13216
ale	101329
Aleluya	17622
Alexandre	26433
Alezandri	17622
alɛm	83707
alɛmsiri	101329
alɛngi	8811
Alfa	13216
Alfe	26433
alnu	22028
alo	13216
alukisi	211470
alunsiri	8811
ambari	13216
ambo	35245
Amen	127763
amɛkiri	259932
amɛl	17622
Aminadab	17622
Amon	8811
Amos	8811
amɔy	8811
ana	1207144
anamɔ	101329
Ananias	57273
andari	52867
andɔ	17622
André	61678
andulsi	17622
anɛ	207064
ang	2114705
angara	625600
angasisi	26433
angay	13216
angba	17622
angbɔl	8811
angbɔsi	13216
angɛriki	52867
angiri	273149
angoy	154197
ani	506648
Anne	30839
anɔ	48461
anɔsisi	17622
Antioshe	101329
Antipas	8811
aosi	83707
aosili	57273
aosimɔ	8811
aɔl	17622
aɔm	8811
apam	123357
apen	66084
apengi	8811
apensi	17622
apɛm	8811
api	26433
