Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 85358

a	2717964
à	46861
ä	46861
A1	140584
aa	550622
aabote	58576
aacho	70292
aafah	35146
aafaht	35146
Aafang	257737
aafangd	35146
aafangs	152299
Aafrog	105438
Aagabe	128868
Aagebot	105438
aageh	35146
aagfahre	35146
aagfange	222591
aagfröged	152299
aaghalte	46861
aagnoh	257737
Aagstellte	58576
aakünd	82007
Aalag	93722
Aalage	35146
Aalass	410037
Aaläss	46861
Aalige	128868
aaluege	105438
Aameldig	35146
Aarau	257737
Aargau	679491
Aargauer	620914
Aargauisch	35146
aargauische	35146
Aaschluss	140584
aaschlüssend	82007
aaschlüssende	35146
Aatrag	351460
Aaträg	35146
aaträte	281168
aatritt	82007
aatroffe	35146
aawesend	35146
Aawesende	82007
Aawohner	93722
Aazahl	117153
ab	1921319
ABB	70292
abbaud	46861
abbaut	46861
Abbruch	35146
abdeckt	35146
Abe	726352
Abed	35146
Abemahl	46861
aber	4065231
abgeh	152299
abghalte	58576
abglehnd	35146
abglehnt	152299
abgnoh	46861
abgrisse	175730
abgschlosse	164015
abgschtumme	35146
Abgseh	35146
abgstimmt	46861
Abig	398322
Ablauf	58576
Ablehnig	70292
Abriss	128868
Abschaffig	58576
Abschluss	82007
Abschnitt	140584
absolute	117153
absolviirt	35146
Abstand	35146
Abstimmig	281168
Abstimmige	117153
Abstimmigssunntig	105438
Abstimmigsvorlage	35146
Abt	46861
Abteiligsleiter	35146
abzbaue	35146
abzwarte	46861
Achse	35146
acht	257737
achte	35146
achti	222591
action	35146
Advent	35146
Aebi	117153
afangs	35146
AFM	117153
AG	492045
Agglo	35146
Air	82007
AKB	35146
Aktiegsellschaft	35146
Aktion	46861
aktiv	70292
aktuell	117153
aktuelle	46861
aktuelles	35146
aktuelli	58576
Alain	46861
Alarm	93722
Alarmüebig	35146
Alass	46861
Aläss	35146
Albaner	35146
Alberich	105438
Album	58576
Ale	35146
all	105438
alle	93722
allefalls	35146
allei	46861
allem	246022
aller	46861
alles	597483
allfällige	58576
allfälligi	70292
allgemeini	35146
alli	1511281
allne	363176
als	2132196
also	480329
alt	105438
alte	234307
Alteburg	363176
Alter	105438
ältere	35146
Alternative	70292
Alterszentrum	35146
alti	175730
Altpapier	140584
Altpapiir	70292
am	12570585
Ambulanz	82007
Amma	35146
Ammaa	46861
Amrein	46861
Amt	421753
