Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 176090

Aarónwei	11357
Aba	17036
Abba	17036
Abel	11357
Abelbe	11357
Abíaswei	11357
Abraham	96541
Abrahamba	11357
Abrahambe	176046
Abrahamguen	11357
Abrahamma	17036
Abrahamwan	107899
Abrahamwanba	17036
Abrahamwane	17036
Abrahamwei	113578
Abrahamweinukkurri	62468
Acaya	45431
aceite	73825
aceiten	22715
acuerdo	130615
acuerdon	45431
Adán	34073
Adánbe	11357
Agabo	11357
Agripa	22715
Agripaba	17036
Agripabe	28394
alaaranøb	11357
alabastro	17036
aleguiab	17036
aleguiam	11357
aleguiyab	45431
aleguiyam	17036
alejandríasriig	11357
Alejandro	11357
Alfeowei	28394
alpargatis	11357
alpargatiswan	17036
alpargatisyu	17036
altar	51110
altarba	11357
altaryu	17036
altaryugurri	17036
altaryumay	11357
amba	494065
ambabe	130615
ambah	11357
ambam	34073
ambamba	11357
ambamdiig	17036
ambamgaig	22715
ambamibe	34073
ambamig	147651
ambamigwan	34073
ambamnegatig	22715
ambamø	11357
amban	28394
ambasay	11357
ambashmørrunrrig	11357
ambay	164688
amben	210119
ambendø	17036
ambene	68146
amber	22715
ambi	17036
ambig	34073
ambigu	17036
ambiilø	73825
ambiisrø	11357
ambin	22715
ambinab	11357
ambingarubig	11357
ambø	17036
ambøgatø	28394
ambøgatømaysrø	22715
ambøgatøsrø	28394
ambøgatøsrømay	39752
ambub	215798
ambubelø	653075
ambubeløba	11357
ambubeløbe	68146
ambubig	11357
ambug	17036
ambugurri	176046
ambumay	181725
ambuppe	45431
ambuptinchibelø	34073
amburab	34073
ambuurø	22715
Aminadabwei	11357
ammønrrigay	17036
ammøtay	11357
ammøwatø	28394
ammøwei	96541
amø	204440
amøña	34073
amøñabe	17036
amønaibe	11357
amønaig	68146
amønaigu	34073
amønaigwan	11357
amønaigwanba	11357
amønaigwane	11357
amønailøyu	17036
amønailøyutø	11357
amønain	11357
amønaitøga	17036
amønaitøgabe	11357
amønam	11357
amønamiba	17036
amønamig	119257
amønamigu	17036
amønamigwan	90862
amønamigwanba	11357
amønamigwane	11357
amønamikkan	11357
amønan	22715
amønay	113578
amøner	17036
amøñib	130615
amøñibelaimburab	11357
amøñibelan	85183
amøñibelane	17036
amøñibelø	386166
amøñibeløba	11357
amøñibeløbabe	11357
amøñibeløbe	141972
