Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 181091

a	60742
ã	127007
a'a	115963
ã'ã	800702
a'adji	11044
ã'ãeche	11044
Aarõ	22088
Abel	22088
Abia	16566
Abiatar	11044
Abiu	11044
Abraã	524598
Abraãdji	27610
Abraampe	11044
Abraãmpe	165662
ache	10127504
achedji	44176
achedjiwa	11044
achedjiware	16566
achepe	187750
achĩ	165662
achĩdjiwa	11044
achĩma	16566
achĩpe	16566
achĩpurã	143574
ãchĩpurã	11044
acho	33132
achopawã	11044
achy	519076
achybu	60742
achydjiwa	27610
achyechewerã	11044
achyeme	11044
achygi	276104
achygipe	121485
achyllã	22088
achyllãma	27610
achyllãngi	16566
achyllãwã	16566
achyma	33132
achype	27610
achyty	11044
achytygi	11044
achywã	22088
achywegi	22088
achywegipe	16566
Adã	55220
Adãmpe	11044
Adan	27610
Adi	11044
adji	11044
ãdji	11044
adjullã	430722
adjullãwã	60742
ae	93875
Afaxad	11044
Agabo	11044
Agar	16566
Agripa	82831
aity	16566
aiwi	11044
Aka	11044
akã	82831
ãka	11044
Akadja	22088
Akadjape	11044
akãdji	60742
ãkãmbi	16566
Akĩ	11044
Akilape	11044
aku	127007
akua	66265
akuape	22088
akullãma	11044
alacrã	11044
alakrã	16566
Alejandria	22088
Alejandro	27610
alfa	16566
Alfeo	22088
allã	22088
allãngi	601907
allãngipe	49698
amai	33132
Amaĩ	16566
amaty	38654
Amaty	121485
Aminadab	22088
Amõ	11044
Amos	11044
Ana	22088
Anania	71787
Ananiape	22088
Ananias	16566
Anas	11044
Andjãwẽ	623995
Andjãwẽdji	22088
Andjãwẽpe	49698
Andre	49698
Andrepe	16566
año	11044
Antiokia	44176
Antiokiape	82831
apã	1225902
Apã	20912138
apãdji	11044
Apãdji	22088
Apãeche	11044
Apãechepe	66265
Apãllã	11044
apãpe	176706
Apãpe	209839
apãrã	33132
ape	811746
ãpe	11044
apedjiwa	11044
apepe	38654
apo	88353
apodji	60742
Apolo	66265
Apolope	11044
apostol	469377
apostollã	11044
apostolrã	22088
Apostolwã	11044
apotol	27610
Aquila	27610
Arã	27610
Arabiape	11044
Arimatea	22088
Aritarko	11044
Artemisa	11044
Asa	11044
Asia	82831
Asiape	33132
Asope	11044
Asor	11044
asufre	38654
Atena	16566
Atenape	22088
Auguto	11044
awa	1170682
awã	110441
awadji	33132
awape	71787
