Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 95677

ab'ahansi	20903
Ab'aheru	20903
ab'amani	31355
ab'ebishuba	20903
ab'eikuru	20903
ab'eira	20903
ab'eirai	52259
ab'emitima	31355
ab'ensi	41807
ab'enteko	62710
ab'ohai	31355
ab'okugamba	31355
ab'omoi	94066
ab'omu	31355
ab'omururu	20903
ab'orubaju	20903
aba	2968320
abaakafakaire	20903
abaana	397169
abaanabe	52259
abaasha	20903
ababa	20903
abababagonza	20903
ababaire	1097442
ababarangiire	20903
Ababatiza	20903
ababaza	533043
ababembe	52259
ababi	146325
ababili	31355
ababinga	31355
ababisha	167229
ababishabe	20903
ababo	31355
ababuya	20903
ababuzire	41807
abachumbiza	20903
abachwera	62710
Abadiakoni	20903
abafakaire	31355
abafakare	125421
Abafarisayo	491236
Abafera	20903
abafire	104518
abafu	198584
abafukamira	52259
abafungwa	62710
abafura	20903
Abagalilaya	20903
abagamba	20903
abagambaga	41807
abagambira	2006751
abagambire	20903
abaganyibwa	31355
abagarukamu	20903
abagavana	20903
abagendaga	20903
abagenyi	73162
abagenzi	20903
abagezi	31355
abagilire	31355
abagira	31355
abagiraga	20903
Abagiriki	62710
abagoba	31355
abagonza	31355
abagonzibwa	167229
abagorogoki	83614
abagumire	20903
Abagumire	31355
abagumise	20903
abagurusi	219488
abaha	104518
abahagaire	20903
abahe	62710
abahindura	62710
abaho	31355
abahorora	637561
abahuliire	73162
abahulira	31355
abahwezi	31355
abahya	20903
abaigazi	20903
Abaigazi	20903
abaijukuru	31355
abaikara	31355
abaikiliize	62710
abaikiliza	209036
abaina	292651
abaire	177681
abairu	261295
abairube	177681
abaisherukare	271747
abaisi	31355
Abaisiraeli	167229
abaisire	20903
abaita	31355
abaizire	20903
abajege	41807
abajulizi	20903
Abajulizi	52259
abajwangaine	20903
abajwete	20903
abakagamba	31355
abakama	219488
abakazairwe	20903
abakazi	355362
abake	41807
Abakirete	20903
abakirisito	334458
abakiza	104518
abakobe	31355
abakora	62710
abakoraga	20903
abakozi	250843
abakozire	20903
abakuhani	648013
abakuru	114970
abakwata	62710
abakwete	52259
abakyaliho	20903
abakyarora	20903
abaleba	41807
abalema	62710
abali	397169
abaliba	62710
abalibe	20903
abaliho	20903
Abaliire	41807
abalikubihulira	20903
abalikubona	31355
abalikuchwazikana	20903
abalikufukamira	31355
abalikugamba	83614
