Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 260016

a	20802565
á	511506
Á	757645
Abafaras	11537
Abafaroditas	7691
Abihudu	7691
Abiru	7691
Abiya	15383
acə	488431
Adamu	65380
Addi	7691
adəwa	1015322
adəwaa	11537
Admin	7691
Afalas	49996
Afisa	88456
Agabas	7691
Agaribas	34613
aguda	7691
Ahazu	7691
Akaya	49996
akə	338440
Akila	26921
Akimu	7691
akwatyi	26921
al	7691
ala	553812
alá	96147
alandza	242292
alandzaa	19229
aləkawalə	561503
Alfayas	19229
Ali	15383
Alimas	7691
Alisabatu	49996
Aliyakimu	15383
Aliyudu	7691
Almadama	7691
altilu	15383
ama	15383
Amin	15383
Aminadabu	15383
Amos	15383
ana	26921
anapə	111531
anapəa	26921
Andarawas	49996
anə	115377
anəgwa	7691
anətə	149990
anətəgwa	61534
Anosha	7691
Antakiya	99993
Anuhu	15383
anyə	61534
anyi	7691
Ar	7691
Arama	7691
Arasa	7691
Arastas	11537
arəwi	173066
Arfakshada	7691
Arimatiya	19229
Aristarkus	19229
Arkibus	7691
Arni	7691
Artamisa	30767
Asa	7691
Asali	7691
asarə	19229
asəntəgwa	15383
asətəgwa	11537
ashamə	69226
Ashira	7691
Asiya	76918
Asus	11537
ata	7691
atə	80764
atəgwa	38459
atərə	92302
Atina	23075
auna	15383
awa	26921
awar	11537
awə	15383
Awə	92302
aya	26921
Aya	34613
Ayawə	15383
ayibə	111531
azaru	103839
azu	19229
azurfa	19229
Azuru	7691
ba	28863608
Baba	30767
Babila	53842
badlə	176912
badləa	23075
Bafas	7691
Bagadaza	7691
Baitafaji	11537
Baitalami	34613
Baitanya	61534
Baitsaida	26921
bakəma	223063
bakəmtsi	69226
Bal	15383
balami	19229
Balazabubwa	26921
balə	273060
baləma	26921
Bamfiliya	19229
bankyə	7691
bapalə	19229
Barabbas	46151
bararawə	65380
barəka	1257614
barəkyi	26921
Barga	11537
Bargamuma	7691
Barnabas	134607
Barniki	7691
Barsaba	7691
Bartalamawas	15383
bata	192295
batali	65380
Batara	7691
batə	523044
batizəma	453818
batlyə	465355
batlyəa	7691
bə	11537
bəa	7691
bəbatlyə	46151
bədlə	15383
bəhushə	7691
bəla	496123
bəlagajə	38459
bəle	38459
bəlibəli	30767
bəri	7691
bəribəri	34613
bidzi	15383
bikyi	1742200
bikyie	7691
Bilastas	7691
