Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 10594

a	19728148
abali	1038323
Abia	1415895
Abubakar	660751
Abuja	660751
abụ	377572
abụghi	566358
abụọ	5663583
achi	283179
achọ	1132716
achọrọ	283179
adabaghi	283179
Adamu	471965
Adesina	377572
adi	377572
adila	283179
afo	377572
afọ	4058901
Africa	471965
African	377572
Afrika	1887861
aga	3303756
agaghi	755144
agụm	283179
agba	1227109
agbala	471965
agbara	283179
agbọghọ	755144
agha	2265433
agwa	943930
aha	283179
ahapula	283179
ahia	2359826
Ahmed	283179
ahu	566358
ahụ	2831791
aja	283179
Ajimobi	283179
aka	7645837
Akande	377572
akara	471965
akọrọ	377572
aku	283179
akuko	377572
akụkọ	1982254
akụlụba	755144
Akpan	377572
akporo	283179
akpọkuola	283179
akpọrọ	1038323
akwado	755144
akwagide	283179
akwala	377572
akwụkwọ	2171040
ala	14819709
All	283179
ama	755144
amalite	283179
amalitela	377572
amara	377572
Amarachi	377572
amata	1132716
ana	2926184
anabata	471965
Anambra	943930
anaputala	283179
and	283179
anọ	1982254
anọchite	377572
anya	6701906
anyanwu	283179
anyi	7929016
APC	1321502
arụ	377572
arụkwaghim	377572
arụrụ	471965
asaa	1887861
asato	377572
asatọ	755144
asi	566358
asiri	283179
assa	283179
Assembly	283179
ato	377572
atọ	1321502
atọrọ	283179
atu	283179
atumatu	283179
AU	566358
azu	283179
azụm	377572
banyere	1510288
bara	660751
bekee	1510288
Bello	1038323
Ben	283179
Benue	566358
bi	283179
bia	377572
bii	1132716
binyere	283179
Borno	283179
bọọlu	471965
bọọlụ	377572
bu	755144
Buhari	1982254
bụ	22087974
bụkwa	377572
bụkwara	377572
bụla	5946762
bụrụ	660751
chekwaba	283179
chere	566358
chi	849537
chinyere	283179
chọrọ	1321502
central	283179
Commission	566358
Congo	471965
Congress	377572
cọmishọna	377572
cọmmishọna	283179
cọmmittee	660751
Cross	566358
Dalong	377572
dara	377572
Delta	471965
Democratic	471965
di	6890692
dika	5002831
dina	1038323
dị	1510288
dịghị	755144
dịrị	377572
Dogara	283179
Dr	660751
e	1793468
Eagles	471965
east	283179
ebe	7079478
Ebonyi	377572
ebubo	471965
echeta	283179
echiche	471965
ECOWAS	283179
edemede	2548612
ego	2831791
eguzobe	283179
eguzobela	471965
egburu	471965
egwu	1699074
egwuri	660751
ehihie	283179
eje	283179
