Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 224808

A	57827
abä	57827
äba	4448
äbä	622753
Abadon	4448
abäk	17792
äbäk	177929
abäkabäk	4448
äbäkäbäk	62275
äbäkamäk	17792
äbäkamän	17792
äbäkamäŋ	53378
abäkaŋ	17792
äbäkaŋ	146791
äbäkaŋä	4448
abäkaŋken	4448
äbäko	22241
äbäkotgän	4448
äbäkta	173481
abämaŋ	17792
äbämaŋ	31137
äbämäŋ	4448
äbämäŋo	17792
abän	4448
äbän	53378
äbänä	71171
abani	8896
äbani	26689
äbanigän	4448
äbanitä	8896
abänkaŋ	4448
Äbänkaŋ	4448
äbäno	8896
äbänpäŋ	22241
Abanus	4448
abäŋ	8896
äbäŋ	84516
abäŋira	8896
äbäŋira	22241
äbäŋirä	151240
abäŋirän	8896
äbäŋirän	177929
äbäŋiri	8896
äbäŋitna	13344
abäŋkä	13344
äbäŋkä	17792
abäŋkaŋ	17792
äbäŋkaŋ	120102
äbäŋo	35585
äbäŋopäŋ	4448
abäŋpäŋ	31137
äbäŋpäŋ	404789
abäŋpäŋä	4448
äbäŋpäŋä	53378
abäŋtäko	17792
äbäŋtäko	8896
äbäŋtäyiwa	4448
äbäpäŋ	22241
äbäro	4448
äbäsi	13344
äbät	4448
abätak	17792
äbätak	169033
abätan	8896
äbätan	57827
äbätäŋgän	57827
abätat	13344
äbätat	124550
äbäwä	4448
Äbäwä	13344
äbayäŋ	97861
äbäyäŋek	4448
abäyäŋektä	4448
abek	8896
äbek	195722
äbeki	8896
äbekiye	57827
äbekjiye	71171
äbekka	4448
äbeknaye	4448
äbekniye	102309
äbeko	31137
Abel	22241
Abeltä	8896
äben	17792
äbet	35585
Abi	17792
äbi	71171
Abiata	4448
äbikaŋ	13344
Abilene	4448
Abiut	4448
Abiuttä	4448
Äbiwä	4448
Abiya	8896
Abiyatä	4448
äbori	182377
äboriken	4448
äboritä	8896
äboriye	204619
äboriyeinik	4448
äboriyekät	4448
äboriyeta	13344
äboriyetä	26689
äbot	2833529
äbotkät	8896
äbotkaye	8896
äbotken	907441
äbotna	4448
äbotnaye	57827
äbotniye	8896
äbotta	35585
äbottä	75620
Abraham	382548
Abrahamkät	13344
Abrahamken	8896
Abrahamta	35585
Abrahamtä	106757
abuk	26689
äbuk	222412
äbukken	8896
äbuko	62275
äbukopäŋ	4448
äbukotä	17792
