Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 312193

aa	224220
aakopi	3203
ae	19218
aene	48047
aenepi	6406
ai	307502
aiki	115313
aikini	16015
Aikoniame	25625
Aikoniamepi	3203
ailene	99297
aima	51250
aimakale	6406
Aimeniasa	6406
aimo	25625
ainapi	6406
aindaka	259454
aine	3203
ainena	32031
aini	6406
Ainiasa	12812
Ainone	3203
aisa	3203
Aisake	76875
Aisakena	9609
Aisakepi	19218
Aisaketo	12812
Aisayana	3203
Aisayanga	3203
Aisayato	105703
aitauwa	3203
aitawa	83281
aitene	140938
aiya	323517
aiyaini	3203
aiyakale	12812
aiyakame	28828
aiyane	16015
Aiyane	32031
aiyangi	9609
aiyawe	12812
aiyu	291486
aka	166563
Akaikusapi	3203
akali	17130428
Akalina	470862
akalinga	3203
akalini	201798
akalinina	3203
akalinipi	6406
akalipi	166563
akanane	3203
Akapasa	6406
Akapasato	3203
akatete	9609
akatupi	6406
Akaya	44844
ake	118516
Akele	3203
Akeletama	6406
akenane	44844
aketa	3203
aki	419612
akini	25625
Akipasa	6406
akipe	9609
Akitipa	41640
Akitipana	3203
Akitipapi	3203
Akitipato	19218
ako	6406
aku	6406
Akuwila	19218
Akuwilapi	6406
ala	35234
alaepe	3203
alaepia	9609
alai	3203
alaini	317111
alainipe	3203
alainipi	9609
alainipia	3203
alaipe	9609
alalaini	3203
alamane	38437
alamanepe	3203
alane	557347
alanepe	6406
alapa	73672
alapale	41640
alapape	169766
alape	16015
alapele	6406
alata	92891
alawane	64062
ale	2962910
Aleke	35234
Alekesanda	3203
alene	112110
alenenga	3203
alenepi	12812
alesa	224220
alesanga	3203
Aletasa	3203
alewa	150547
Alipusa	16015
alo	16015
alu	1925091
alua	3203
alui	3203
alumindi	19218
Alumindi	25625
ama	92891
amai	12812
amaiya	3203
amaiyaini	3203
amaiyu	3203
amakale	99297
Amaketone	3203
amango	185782
amangopi	9609
amape	9609
amauwato	9609
amawua	92891
amawuapi	6406
amawuato	19218
ambe	67266
Ambilatasa	3203
ambinga	28828
ambu	48047
ambua	19218
ambulape	3203
ambuli	3203
ambulinga	3203
ambulini	89688
ambulininga	16015
ambulinipi	16015
ambulu	6406
ambuto	19218
ambuyale	6406
amene	938522
amenepi	22422
ametisa	3203
ami	627816
Aminatape	6406
Aminatapeto	6406
Amipolisa	3203
amo	147344
amokusa	9609
