Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 306770

a	3259
Abadon	3259
Abaiata	3259
Abaisaɨn	3259
Abaisani	6519
Abiatɨn	3259
Abiatni	3259
Abilini	3259
aboɨni	3259
Abraham	6519
ad	277080
Adam	68455
Adamɨn	6519
Adamni	3259
Adgɨ	3259
adgɨn	149949
adi	61935
Adi	16448805
Adigɨn	3259
adiyaowae	9779
adiyaowaekɨ	3259
adiyaowaenan	6519
adiyaowaeyaɨrgɨn	3259
adiyaowaeyɨm	68455
adiyaowaeyɨn	6519
Adiyɨn	3259
adiyo	3259
Adiyo	6519
adɨm	133650
adɨn	309678
Adɨn	488965
adkɨn	3259
admi	3259
adnan	16298
adni	19558
ado	32597
Adramitiam	3259
adwai	6519
adwo	19558
ae	218404
aebwakainami	3259
aegiyɨmgiyɨkaeyami	3259
aegiyɨmgiyɨki	3259
aei	104312
aeika	3259
aeiki	3259
aeikiyam	6519
aeikiyamɨm	3259
aeikɨm	13039
aeikɨn	9779
aeisi	3259
aeiya	71714
aeiyɨm	16298
aeiyɨn	19558
aekaeyam	3259
aekairɨb	3259
aekak	3259
aeki	3259
aekii	3259
aekiyam	3259
aekiyamam	6519
aekiyami	26078
aekiyamɨm	6519
aekiyamkɨm	3259
aekiyɨm	3259
aekiyɨmkiyɨkaeyami	3259
aekiyɨmkiyɨki	3259
aekɨm	19558
aekɨmkɨdu	3259
aekɨn	42377
aekrɨpkai	3259
aekwiyaeikɨn	3259
aekwiyaeniyɨm	3259
aemɨmɨr	3259
aenakiyɨn	3259
aenami	3259
aenamɨm	6519
aenaniyɨm	3259
aeni	45636
aeniya	3259
aeniyam	3259
aeniyɨm	6519
aepirɨmdɨɨnɨu	3259
aepirɨmdɨɨnɨuwi	3259
aepirɨmdɨnɨuɨn	3259
aepirɨmdɨnɨuwi	3259
aepɨbmigiya	3259
aesasaenakiyɨm	3259
aesi	3259
aeya	485705
aeyaigɨnɨuwɨm	3259
aeyaɨrga	61935
aeyakwok	3259
aeyam	65195
aeyamar	3259
aeyamɨn	29337
aeyamtɨbɨm	3259
aeyamwiyɨm	3259
aeyan	3259
aeyana	3259
aeyar	55416
aeyarga	3259
aeyarkaki	3259
aeyawɨe	3259
aeyawɨeyɨn	13039
aeyɨkrɨkɨu	3259
aeyɨm	162988
aeyɨn	45636
aeyɨni	13039
aeyɨnɨn	3259
