Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 1346397

a	4738572
aa	20796
aan	32679
Aan	41592
Aantej	3713
aantoj	1485
Aantoj	2228
aanwej	5941
Aanwej	5941
Aanwejtej	1485
aanwejtoj	1485
Aanwejtoj	1485
aapnoj	75757
Aarón	274064
Aatoj	1485
Aay	1485
ab	148544
ab'cha	12626
ab'en	58675
ab'enal	7427
ab'enen	1485
ab'eni	17825
ab'i	22281
ab'il	636513
ab'le	64616
ab'lei	1485
ab'len	1485
ab'wej	46791
Ab'wej	51990
Abadón	1485
abarim	1485
Abarim	3713
abcha	7427
abchai	1485
Abdá	2228
Abdeel	1485
Abdí	2228
Abdías	17825
Abdón	5941
Abed	5941
Abel	23024
aben	35650
abenen	1485
abeni	10398
abi	4456
Abí	2228
Abiam	16339
Abías	10398
Abiasaf	1485
Abiatar	23024
Abib	3713
Abidá	1485
Abidán	2970
Abiel	2228
Abiézer	6684
Abigail	12626
Abihail	5199
Abihú	8912
Abihud	2228
abil	1485
Abimael	1485
Abimélec	50505
Abinadab	8169
Abinóam	2228
Abiram	8912
Abisag	4456
Abisai	19310
Abisúa	2970
Abisur	1485
Abital	1485
Abiud	1485
able	12626
Abner	53476
abono	1485
Abraham	315657
Abram	53476
Absalón	81699
abubilla	1485
ac	110665
ac'al	60903
ac'b'i	1485
ac'b'oj	2228
ac'boj	1485
ac'to	4456
ac'ul	40849
ac'ulal	25995
ac'ulalil	1485
acacia	20796
Acaico	1485
Acán	10398
Acaya	16339
Acaz	1485
Acbor	4456
aceite	147801
ach	159685
ach'e	296346
ach'eal	11140
ach'etaj	2970
ach'eto	2970
Acor	3713
Acrabim	2228
Acsa	2970
Acsaf	2228
acu'a	2970
Acub	5941
acuẍa	5199
Aczib	2970
Adá	5941
adad	25252
Adaías	7427
Adán	31937
adar	2228
Adar	7427
Adiel	2970
Adín	2970
Admá	3713
Adná	2970
Adón	1485
Adonías	22281
Adonicam	2228
Adoniram	1485
Adonisédec	3713
Adoram	2970
Adramélec	2228
Adramitio	1485
Adriel	1485
Adulam	8169
Adumim	1485
Ael	1485
Aeytoj	1485
Afec	6684
Agabo	5941
Agag	6684
Agar	15597
Agarenos	3713
ágata	2970
Agripa	19310
águila	1485
Agur	2228
Ahab	90612
Ahavá	2228
Ahaz	31937
Ahiam	1485
Ahías	19310
Ahicam	7427
Ahiézer	2970
