Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 359206

a	154209562
Aa	11135
aan	551215
Aasi	5567
Abicha	11135
Abiudi	5567
Adami	38974
Adebia	8351
Adɛsanda	16703
Adɛsandia	11135
Adi	5567
ae	66814
Afasadi	5567
Afiɔsi	13919
Ainɛasi	8351
Ainon	8351
Aisaki	64030
Aisaya	77949
Aka	5567
Akabɔsi	11135
Akaya	33407
Akin	5567
Akipa	38974
Akipɔsi	5567
Akuida	22271
Amesi	5567
Amin	5567
Aminadabi	11135
Amon	5567
an	41948074
Ana	5567
Ananiyasi	47326
Anasi	13919
Andiɔki	66814
Andipasi	5567
Anduu	36190
Ani	5567
Apɔdɔsi	27839
Asa	5567
Asaa	5567
Asɔ	5567
Asɔsi	8351
Atadia	5567
Atɛmisi	13919
Atɛnsi	16703
awa	44542
Ayan	8351
Ayimatia	11135
Ayisitakɔsi	16703
ba	595758
baa	590190
Baabasi	36190
baachenɛ	8351
baachi	16703
Babidon	41758
Badaan	13919
bai	3376892
baima	256120
baiya	13919
bakoe	175386
ban	943748
Banabasi	105788
banchi	5567
banda	1038401
banden	13919
bandenɛ	19487
banfua	66814
Banisi	8351
banun	5567
Basabasi	5567
basachi	11135
basamaya	8351
basan	1937606
basandenɛ	8351
basanɛ	5567
basɔmaya	342421
Batɔɔmiu	11135
baun	570703
bauncha	256120
be	2981576
bea	1152541
beaen	8351
beaenɛ	8351
bechesa	5567
been	66814
bemaya	5567
bemba	345205
ben	1277818
bena	25055
benbenɛ	5567
benden	309014
bendenɛ	25055
Besaida	19487
bɛ	2185375
bɛbɛɛ	41758
bɛɛ	1993285
Bɛɛsɛbu	25055
Bɛfachi	11135
bɛn	999426
Bɛnchamin	11135
bɛnchɛ	5567
bɛnden	164251
bɛndenɛ	180954
bɛnɛ	147547
bɛnkuɛ	16703
Bɛtani	41758
Bɛtɛɛn	25055
Bɛyia	16703
bi	414803
bia	1792843
biaen	22271
biaenɛ	8351
bian	5567
biidi	217145
bin	38974
binɛ	8351
Bitinia	5567
boan	25055
bon	89085
bonchen	16703
bonda	283959
bondan	16703
bondonɛ	13919
bonɛ	52894
boo	4125766
boobo	11135
bosa	27839
botani	8351
Bowasi	11135
bɔ	4056168
bɔen	83517
bɔenɛ	22271
bɔɛ	979939
bɔi	244984
bɔn	111356
bɔndenɛ	11135
bɔnɔ	8351
