Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 965756

a	5906253
aa	107687
aabele	3106
aabulu	6212
aadee	17602
aago	243332
aagu	136680
aahee	9319
Aahee	22780
aai	8283
aala	43489
aalaa	812834
aalek	24850
aali	202949
aalo	6212
aaloho	41418
aamo	103545
aamua	1582180
aana	34170
aanaa	42453
aanei	2185852
Aaron	336523
aau	79730
aawaa	32099
abaaba	793161
abaabalia	15531
Abarim	5177
Abda	2070
Abdi	3106
Abdon	8283
Abednego	14496
Abel	24850
abiabi	2070
Abiathar	28992
Abib	5177
Abida	2070
Abidan	4141
Abiel	3106
Abiezer	9319
Abigail	19673
Abihail	7248
Abihu	12425
Abijah	37276
Abimael	2070
Abimelech	67304
Abinadab	11390
Abinoam	3106
Abiram	12425
Abishag	5177
Abishai	32099
Abishua	5177
Abishur	3106
Abital	2070
Abiud	2070
Abner	62127
Abraham	295105
Abram	59021
Absalom	106652
abulu	18638
acacia	36241
Achaia	12425
Achan	8283
Achbor	6212
Achim	2070
Achish	19673
Achsah	6212
Achshaph	3106
Achzib	5177
ada	472168
Adah	7248
Adaiah	9319
Adam	24850
Adar	10354
Adbeel	2070
Addar	6212
Addi	2070
ade	11390
adee	2070
Adiel	3106
Adin	4141
Admah	5177
Admin	2070
Adna	2070
Adnah	2070
Adoni	2070
Adonibezek	2070
Adonijah	32099
Adonikam	3106
Adoniram	5177
Adrammelech	3106
Adriel	2070
adu	3469820
Adullam	10354
Adummim	2070
aehanga	2070
Aeneas	3106
aga	2878573
Agabus	2070
Agag	11390
agate	3106
agoago	1228053
agogo	4141
Agrippa	12425
agu	1486918
aha	1267400
Ahab	137715
Ahava	3106
Ahaz	49701
Ahaziah	47631
ahi	388296
ahiaalangi	55914
Ahiam	2070
Ahidub	3106
Ahiezer	5177
Ahihud	2070
Ahijah	23815
Ahikam	8283
Ahilud	5177
Ahimaaz	16567
Ahiman	4141
Ahimelech	22780
Ahimoth	2070
ahina	1938377
Ahinoam	7248
Ahio	6212
Ahira	4141
Ahisamach	3106
Ahitophel	18638
Ahitub	8283
Ahlai	2070
Ahoh	3106
Ahohi	2070
aholi	9319
ai	4604682
Aiah	6212
Aijalon	10354
Ain	5177
aip	2070
ais	3106
aiu	2070
akaa	22780
akai	67304
akii	7248
Akkub	8283
Akrabbim	3106
ala	11999925
alabaster	3106
Alemeth	4141
Alexander	7248
