Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 189567

a	6884109
Abadoni	5275
Abaiatau	5275
Abaisa	10550
Abaisau	5275
abata	79127
abatae	5275
abatamo	10550
abatau	5275
abavu	5275
abavuale	36926
abavuevegei	5275
abavueveliho	5275
abavuevelivebene	10550
abavuge	10550
abavuho	5275
abavuholilu	5275
abavui	10550
abavuliho	5275
abavulu	52751
abavunu	15825
abavuve	5275
abavuveve	5275
abege	42201
Abege	42201
Abelasi	5275
Abia	5275
Abiasie	5275
Abilatasi	5275
Abilini	5275
ABOKALUBO	5275
Abolioni	5275
Abolonia	5275
Abolosi	52751
Abolosiu	21100
abostolo	495866
abostolobe	5275
abostoloe	15825
abostoloea	26375
abostoloeau	36926
abostolove	21100
abu	13019143
Abudi	5275
Abudiu	5275
abue	73852
abuela	5275
abuemo	596095
abuhi	712149
abuho	1355721
abuhuvela	21100
abui	448390
abuiabuiai	5275
abuiabuialiege	5275
abuiai	5275
abuiale	5275
abuialemo	5275
abuialive	15825
abuiamale	5275
abuianela	5275
abuianu	5275
abuiau	68577
abuiave	5275
abuibuiai	15825
abuiho	10550
abuike	21100
abuilahalu	5275
abuilike	10550
abuimo	5275
abuita	1186915
abuitaeau	68577
abuitaho	5275
abuitaholisege	10550
abuitaike	5275
abuitala	5275
abuitamo	5275
abuitana	10550
abuitata	10550
abuitati	5275
abuitau	15825
abulako	15825
Abulako	21100
abulemo	5275
abulike	68577
abuluvuta	5275
abuna	2969926
abuta	247933
abutana	10550
ada	1002284
adae	443115
adaeabe	10550
adaeau	5275
adahima	10550
adahisege	5275
adala	94953
Adalamiti	5275
adamo	105503
Adamu	79127
Adamuemo	5275
Adamumo	5275
Adamuu	26375
adata	73852
adataike	5275
adatela	15825
adatelaike	5275
adau	26375
adave	174080
adavela	21100
adavemo	36926
adaveta	5275
adaveu	15825
Adi	10550
Adolonikasi	5275
adu	47476
ae	68577
aeamai	5275
aeamamo	15825
aegevealemo	5275
aegevelu	5275
aegevenela	5275
aegevenu	5275
aegeveve	5275
aehai	63302
aehale	10550
aehalive	5275
aehanela	15825
aehanu	5275
aehave	10550
aemo	189906
Agabasi	10550
agaholinu	5275
agamoike	5275
Agibasi	10550
Agiliba	42201
Agilibata	5275
Agilibau	36926
agilive	5275
agite	5275
agiteatae	5275
agiteatave	10550
agiteve	31651
agiteveatae	5275
ahamoi	15825
