Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 115007

ö	2521585
Öвраам	452146
Öвраамöс	69560
Öвраамкöд	26085
Öвраамлöн	121731
Öвраамлы	121731
Öвраамлысь	17390
Öвраамсянь	104341
öвсьöй	17390
Öвсьöй	26085
öгыръяс	17390
öд	7660403
öдва	43475
öдзöс	147817
öдзöсöд	43475
öдзöсас	17390
öдзöссö	60865
öдзöсъяс	34780
öдзöсъяссö	26085
öдзöсыс	43475
öдйö	95646
öдйöджык	104341
öзйис	34780
öзйыны	17390
Öзтöм	34780
öзъялö	17390
öзъялысь	17390
öкмыс	43475
öкмысдас	34780
öкмыссö	17390
öкмысыс	17390
öксы	678219
öксыö	17390
öксыöн	52170
öксыöс	43475
öксылöн	113036
öксылы	34780
öксылысь	17390
öксынас	17390
Öксысö	17390
Öксыыд	17390
öксыыс	34780
Öксыыс	52170
öксыяс	121731
öксыясö	17390
öксыясöс	26085
öксыяслöн	26085
öксыяслы	17390
öлöд	52170
öлöдiм	17390
öлöдiс	243463
öлöдiсны	43475
öлöдöй	26085
öлöдöм	52170
öлöдас	17390
öлöдлiс	17390
Öльöксандр	17390
öмöй	1252097
öнi	2017268
öнiсянь	34780
Öнiсянь	52170
öнiя	217378
öнiяыс	26085
öнöдз	173902
Öндрей	113036
Öнисим	17390
Öнисифорлöн	17390
Öсип	295634
Öсипöс	17390
Öсипкöд	17390
Öсиплöн	60865
Öсиплы	34780
Öсиплысь	17390
öта	1069500
öтар	26085
öтарö	86951
öтвыв	321719
öтвылысь	69560
öтдор	52170
öтдорт	17390
öтдортiсны	43475
öтдортö	17390
öтдортöй	26085
öтдортысь	26085
öтдортысьяс	17390
öти	2686792
öтиöс	69560
öтикöс	60865
öтилöн	34780
Öтилöн	34780
öтилы	78256
öтипöлöс	34780
öтисö	147817
öтитор	139121
öтиыс	104341
öтияс	86951
Öтияс	104341
Öтиясöс	26085
öткöн	34780
öтка	78256
öткодь	34780
öткодьöсь	52170
öткодявны	86951
öткодяла	34780
öткымын	34780
öткымынöн	95646
öтлаö	43475
öтлаасьö	26085
öтлаын	156512
öтлаынöсь	17390
öтмоза	60865
öтнам	26085
öтнамöс	26085
öтнаныс	17390
öтнас	69560
öтпырйö	60865
öтув	34780
öтувтчöй	34780
öтувтчисны	34780
öтувтчыны	52170
öтувтчысь	26085
öтувъя	95646
öтчыд	17390
