Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 257068

ๆ	19450
ก	1229246
ก็	16536480
กจัด	7780
กจาย	7780
กจิล	50570
กจีร	11670
กซ็อฺด	50570
กซัจ	35010
กแซ	58350
กญาน	7780
กด	108920
กดล	66130
กดาร	15560
กเดา	143930
กตวม	23340
กน็	1587128
กน็อฺด	171160
กนัด	23340
กนาล	369552
กนึด	252851
กนูร	11670
กเนฺิด	66130
กโนบ	15560
กบ	54460
กบ็อฺด	85580
กบาล	264521
กเบฺิด็	101140
กป็วฮ	291751
กเปา	11670
กม	147820
กม็	11670
กมัง	23340
กมูํย	7780
กเมจ	31120
กเมญ	248961
กแม็ย	2178411
กรม	27230
กรวบ	35010
กร็วฮ	124480
กรอ	124480
กรอก	381222
กรอบ	7780
กรอม	303421
กรอย	774114
กรอล	19450
กรอฺ	210061
กร็อฺง	7780
กระ	548493
กระวัด	50570
กระวี	7780
กรัฮ	11670
กราบ	252851
กราล	31120
กราว	233401
กริบ	46680
กรีก	120590
กรุํ	2046151
กรุน	97250
กรํุบ	299531
กรํุบๆ	11670
กรุฮ	31120
กรู	707983
กรูํ	7780
กรฺีม	11670
กรฺีว	7780
กรฺื	15560
กรฺืง	330651
กเร	7780
กเรฺาะ	132260
กเรฺิก	77800
กแรญ	322871
กล	11670
กลอฺก	7780
กลับ	7780
กลาง	11670
กลาย	38900
กลุม	27230
กเล็ฮ	11670
กเลฺิน็	19450
กแลญ	35010
ก็วง	143930
กวย	202281
กวร	42790
ก็วล	27230
ก็วฮ	35010
กอร	15560
กอฺ	186721
กอฺง	252851
กอฺงๆ	15560
ก็อฺด	31120
ก็อฺบ	221731
ก็อฺม	7780
ก็อฺล	750774
ก็อฺฮ	136150
กะ	128370
กัง	213951
กัจ	101140
กัด	178940
กัน	1427637
กัร	27230
กัล	7780
กัวะ	7780
กา	377332
กาง	322871
กาด	1089205
กาน	7780
กาบ	93360
กาม	11670
กามา	11670
กาย	27230
การ	3147027
กาฮ	15560
กำ	1233136
กำปี	813014
กำราบ	15560
กำไร	42790
กำลัง	490142
กิน	124480
กิโล	42790
กีลา	15560
กึด	1999470
กืก	50570
กือ	2551853
กุก	299531
กุน	525152
กุม	31120
กุย	521262
กู	19450
กูํ	97250
กูํก	77800
กูํร	455132
กฺี	17734607
กฺีญ	105030
กฺืก	7780
กฺืย	1159226
เก	19450
