Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 189564

a	1033951
ae	26376
aegae	36926
aegaiye	10550
Aegauvaꞌmonanafa	5275
aegauve	10550
aege	100230
aegefeꞌmo	15825
aegekana	42202
aeka	258487
aeli	10550
aelineno	10550
aelino	5275
aelitutapa	5275
aeliꞌa	5275
aeme	10550
aenageꞌa	5275
aeni	58027
aeniletiꞌmo	5275
aenimo	15825
aeno	3682133
aepa	1297714
aepafiꞌmo	10550
aepaleꞌmo	10550
aepamo	5275
aepaꞌaeꞌmo	52752
aepaꞌalaꞌmo	5275
aepaꞌamo	506425
aepaꞌamoꞌmo	5275
aepaꞌaꞌe	5275
aepaꞌaꞌeꞌmo	10550
aesageno	15825
aesaya	21101
aesigeno	5275
aesigenoꞌaeꞌmo	5275
aesigeta	5275
aesigeꞌapaeꞌmo	5275
aesiyafeꞌmo	15825
aesiyaꞌmoꞌmo	5275
aet	5275
aeta	553902
aetapa	258487
aetapaeꞌmo	5275
aetaꞌa	10550
aeteka	5275
aeteno	84404
aetetapa	5275
aetetapaeꞌmo	5275
aeteꞌa	126606
aeteꞌapaeꞌmo	26376
aeteꞌna	5275
aeto	796564
aeyo	21101
aeꞌa	1651157
aeꞌana	100230
aeꞌapaeꞌmo	15825
aeꞌna	627756
aeꞌnae	36926
aeꞌnageꞌa	5275
aeꞌnageꞌapaeꞌmo	5275
aeꞌnaya	42202
aeꞌnayana	5275
aeꞌnayaꞌmonanafa	5275
aeꞌnegaiye	10550
aeꞌnenoꞌaeꞌmo	5275
aeꞌnetapaeꞌmo	5275
aeꞌnigeno	5275
aeꞌnigeꞌa	5275
aeꞌnigeꞌapaeꞌmo	10550
aeꞌnigeꞌna	5275
aeꞌnisigetapa	5275
aeꞌnisiyaꞌaeꞌmo	5275
aeꞌniya	47477
aeꞌniyaꞌmofeꞌmo	5275
aeꞌniye	58027
aeꞌnogi	5275
aeꞌnonaꞌmofeꞌmo	5275
af	10550
afa	490599
Afa'a	5275
afafafatiꞌmo	5275
afafale	31651
afafaleꞌmo	15825
afafamo	5275
afagi	42202
afagitega	52752
afagitegamo	10550
afagitegatiꞌmo	15825
afagiꞌaleꞌmo	105505
afalo	5275
afalu	195184
afalugana	94954
afaluꞌamoꞌmo	5275
afamo	200460
afayatagageꞌmo	5275
afayatega	5275
Afayaꞌaꞌe	5275
afayaꞌe	10550
