Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 247529

a	36359
A	36359
aac	145437
aacɗen	36359
aace	28279
aacga	12119
aacin̰	12119
aacn̰	12119
aaj	48479
aaja	8079
aajɗenoga	12119
aajga	24239
aajiga	24239
aajjeki	28279
aajjekiga	8079
aajse	28279
aajumga	8079
aak	2840071
aaka	113118
aakɗe	92918
aakɗega	12119
aakɗeki	28279
aakɗen	36359
aakɗenga	8079
aakɗeno	12119
aakga	96958
aaki	8079
aakin̰	500951
aakin̰a	60598
aakin̰ga	32319
aakin̰ki	80798
aakin̰kiga	16159
aakin̰o	24239
aakje	12119
aakjeki	16159
aakjen	12119
aakki	141397
Aakki	165637
aakkiga	56559
aakkiro	20199
aakŋ	12119
aako	76758
aakoga	12119
aakse	8079
aaksen	16159
aakum	48479
aakumga	16159
Aakumki	16159
aakumkiro	8079
aakumkiroga	12119
aal	1094821
aalɗe	44439
aalɗeki	28279
aalɗen	16159
aalɗeno	44439
aalga	424192
aalin̰	149477
aalin̰ki	8079
aalin̰kiga	8079
aaljeki	8079
aaljen	8079
aalki	206036
aalkiga	88878
aalkiro	12119
aalo	214116
aalum	8079
aam	8079
aan	6839602
aan̰	286835
aana	20199
aanga	581750
aan̰ga	8079
aanin̰	8079
aankiga	16159
aano	16159
aan̰o	20199
aar	36359
aarɗeki	8079
aarki	8079
Aarun	16159
aas	593869
aasa	8079
aasɗe	12119
aasga	96958
aasin̰	96958
aasin̰ga	32319
aasin̰ki	48479
aasin̰oga	8079
aaskiga	16159
aasum	12119
aat	16159
aata	16159
aay	387833
aaye	52519
aayga	20199
aayin̰	12119
aayjeki	8079
aayki	185836
aayo	12119
Abba	16159
Abɛl	20199
Abiud	8079
Abiya	8079
Abraam	428232
Abraamge	36359
Addi	8079
Admin	8079
Adum	64638
aɗe	1312977
aɗeki	92918
aɗen	1070581
aɗeno	28279
aɗesin̰	32319
Agabus	12119
Agar	8079
Agripa	64638
ai	521151
aisin̰	20199
ajeki	492871
ajen	149477
ajenki	36359
ajensin̰	8079
ajesin̰	8079
ajesin̰ki	8079
Akayi	40399
Akaz	8079
Akeldama	8079
aki	1781609
akiga	12119
Akilas	28279
Akim	8079
akiro	16159
al	4080329
albatir	12119
Alekzandɛr	20199
Alekzandri	16159
Alɛluia	16159
aljam	8079
alpasa	8079
Alpe	20199
am	622149
amin	12119
Amin	105038
