Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 185767

aba	10766
abadi	118427
Abia	16149
Abraham	689035
Adam	80746
adat	80746
adik	16149
adikni	10766
adil	166875
adonan	16149
Adui	16149
Agabus	10766
agak	21532
agama	1313473
agamamu	10766
Agripa	69980
agung	462945
Agungkodo	10766
agungni	10766
Ah	10766
ahli	113044
ajaib	16149
ajar	10766
ajaran	818229
ajaranmu	16149
ajaranni	16149
ajarko	53830
ajo	156109
ajuko	21532
akal	37681
akalmu	10766
Akhaya	64597
akher	253005
akherni	107661
Akherni	199174
akibat	16149
akibatni	48447
akrab	10766
akuk	21532
Akuk	32298
akukdo	16149
Akukdo	43064
Akwila	43064
alam	102278
alami	75363
alas	16149
alasan	113044
alasanni	10766
alat	59213
Aleksander	32298
Aleksandria	21532
aleran	21532
Alfeus	26915
ali	21532
Alkitab	866677
Allah	15584038
Allahdo	16149
Allahmu	43064
Allahni	16149
Almasih	3649733
Almasihdo	37681
aman	16149
Amin	150726
Aminadab	10766
ampai	855910
ampaido	10766
ampun	10766
ampunko	16149
anai	32298
anak	3644350
anakku	172258
anakmu	75363
anakni	366049
Ananias	91512
ancaman	32298
Andaikata	21532
Andreas	75363
anduk	10766
aneh	166875
anggap	26915
anggapdo	26915
anggor	522159
anggorku	10766
anggorni	26915
anggota	662119
anggotani	10766
angin	258388
angka	21532
angkah	1539563
angkasa	37681
angkatan	32298
ani	651353
aniaya	16149
ano	6179784
anodo	193791
Antiokhia	156109
anugerah	48447
anut	10766
apai	21532
apaimu	32298
apaini	21532
api	5684540
apiko	10766
apilagi	113044
Apolos	80746
apui	446796
apuini	10766
ara	113044
Arab	16149
arah	32298
Areopagus	16149
arif	10766
Arimatea	21532
Aristarkhus	26915
arit	26915
Arkhipus	10766
Artemis	26915
asa	59213
asal	150726
asalni	231472
Asia	107661
asin	10766
asing	113044
asli	26915
Asos	10766
Asyer	10766
atas	1781801
atasan	10766
atasmu	16149
atasni	69980
atau	2083254
ataupun	193791
Atena	32298
atoran	387582
awak	96895
awakmu	10766
awan	134577
Awas	10766
ayan	10766
ayat	188408
Ayunkodo	10766
baban	26915
Babel	64597
babui	172258
baca	10766
badai	26915
badan	732099
badanku	32298
badanmu	102278
badanni	161492
bagai	10766
bagi	559841
bagian	236855
bagianni	26915
bagiko	134577
bagiku	59213
bagimu	75363
Baginda	86129
Bagus	16149
