Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 156155

ä	38199225
áa	1613781
aabétuk	12807
áabétuk	12807
áabeu	12807
áabia	12807
áachä	115270
áachë	12807
Áachë	19211
áachem	38423
Áachem	115270
áachim	57635
aahua	160097
áahuä	12807
aahuähui	25615
aahuai	12807
aahuak	51231
áahuak	12807
aahuaka	38423
aahuakä	12807
aahuame	38423
aahuäu	32019
aahuay	32019
aahuayo	44827
áahuë	19211
áahuem	32019
áahuim	19211
áamak	1248759
áamaki	57635
áamakim	12807
áamakte	25615
aane	1325605
aanek	102462
aaneka	19211
aaney	723639
aani	12807
aanim	70442
áapat	76846
áapo	1697031
Áapo	1921168
áapola	96058
áapolaik	51231
áapolaytu	12807
áapörik	1255163
áapörikem	32019
áapörikut	115270
Áaporikúu	19211
áapörikúu	19211
áapörimak	19211
Áaposu	19211
äasoay	12807
áatana	19211
aayuk	185712
ábachi	25615
äbam	12807
Abba	12807
abe	262559
äbe	12807
Äbe	25615
Abelta	25615
Äbem	32019
Abíasta	12807
äbo	1588165
äboj	19211
Abraham	192116
Abrahamta	275367
Abrahamtamak	32019
Abrahamtamaki	12807
Abrahamtat	25615
Abrahamtatte	12807
Abrahamtau	25615
Acaya	51231
Acayapo	19211
aceiteta	64038
áchaihua	19211
áchaihuari	12807
áchay	102462
Áchay	390637
áchaybet	12807
áchaybeu	70442
áchayë	19211
áchayek	70442
áchayeka	12807
áchayekay	480292
áchayhua	102462
áchayhuam	44827
áchayhuari	38423
Áchayhuari	51231
áchayhuariam	12807
áchayhuariapo	38423
áchayhuarim	76846
Áchayhuarita	51231
Áchayhuaritau	12807
áchayim	108866
áchaymak	25615
áchayrim	12807
Achayta	12807
áchayta	12807
Áchayta	365021
Áchaytamak	38423
Áchaytat	19211
áchaytau	12807
Áchaytau	57635
Adán	32019
Adánta	38423
adulteriopo	12807
Agabo	12807
Agar	12807
Agripa	83250
águila	12807
ahuä	57635
áhuä	128077
ahuakamta	12807
ahuakay	19211
ahuam	19211
ahuaü	12807
Áhuem	19211
áhuim	19211
ái	230540
aika	89654
áiye	236944
ajäria	44827
ájariä	25615
ájäria	659601
ájäriatukähui	57635
Akë	307386
akem	160097
Akem	288175
akim	185712
ákorom	12807
al	2382248
ál	3003426
alë	262559
álë	57635
alëbenna	12807
Alejandríapo	25615
Alejandro	25615
Aleluya	25615
Alfa	25615
