Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 1603069

a	3119
Aarôna	230183
Aba	3742
Abadôna	1247
Abana	1247
Abarima	8733
Abarôna	1247
Abda	1247
Abdà	1247
Abdela	1247
Abdemeleka	3742
Abdenegao	9357
Abdia	1871
Abdiasa	7485
Abdiela	1247
Abdona	4990
Abdôna	4990
Abdỳ	1871
Abed	9357
Abela	31813
Abesalôma	1247
Abesàna	1247
Abia	21209
Abià	15595
Abiama	3119
Abiasa	3742
Abiasafa	3742
Abiatara	39923
abiba	1871
Abiba	5614
Abida	1247
Abidà	1247
Abidana	3119
Abidàna	3119
abidim	8109
Abiela	3119
Abiesera	3742
Abiezera	5614
Abiezerita	2495
Abigaila	21833
Abihaila	6861
Abiho	7485
Abihoda	3119
Abilena	1247
Abimaela	2495
Abimeleka	84213
Abinadaba	16218
Abinoama	2495
Abinôema	1247
Abiò	6861
Abioda	1871
Abirama	8109
Abirôna	6861
Abisaga	6238
Abisaï	3742
Abisaia	11228
Abisay	15595
abisinta	1247
Abisoa	3742
Abisoe	3119
Abisora	2495
Abitala	2495
Abitoba	1247
Abnera	77975
Abobôsa	1247
Abrahama	386134
Abrama	80470
Abrona	1247
Absaloma	68618
Absalôma	67994
absinta	2495
Aby	2495
Ada	4990
Adà	4990
Adada	5614
Adaia	6861
Adaiasa	4366
adala	256383
adaladala	6238
Adama	40547
Adamà	2495
Adamy	1247
Adara	21209
Adarezera	6238
Adasà	1247
adiady	3119
adidiko	3119
adidin’ireo	1247
adidinao	1871
adidinay	1871
adidiny	3119
adidy	9980
Adiela	3742
adihevitra	6238
adika	11228
adiko	11228
adilahy	2495
adim	1871
adin’i	1247
adin’izy	1871
adin’ny	22456
adin’olona	2495
Adina	3119
Adìna	2495
adinao	5614
adinareo	1871
adinina	1247
adintsika	1247
adiny	17466
Adma	3119
Admîna	1247
Adna	2495
Adô	6238
Adolama	4990
adolamita	1247
Adolamita	1247
Adomima	2495
Adona	1247
Adôni	1247
Adonia	18090
Adoniasa	16842
Adonikama	1871
Adônikama	1871
Adonirama	1247
Adônirama	1247
Adônisedeka	1247
Adony	1247
Adonỳ	1871
Adorama	1871
Adôrama	4990
Adrameleka	3119
Adramita	1247
Adray	3119
Adre	3742
Adriela	1247
ady	334982
aelezo	4990
aelin’ny	1871
aelinao	1247
aeliny	1871
aely	1871
Aena	1247
