Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 747367

a	4996206
aaet	2676
ab	203380
abaddon	2676
Abaddon	4014
Abaiheil	2676
Abaija	8028
Abaiud	2676
abarim	2676
Abarim	5352
Abba	4014
Abda	2676
Abdai	4014
Abdon	10704
Abednego	20070
Abidan	6690
Abigeil	22746
Abiheil	5352
Abimael	2676
Abimelek	88310
Abinadab	12042
Abishag	6690
Abishua	5352
Abishur	2676
Abital	2676
Abner	84295
abṇōṇō	16056
Abrona	2676
Absalom	141831
abwin	107042
abwinmake	6690
abys	12042
ad	408099
Adaia	6690
Adam	28098
adar	4014
addeboulul	4014
adder	6690
addi	8028
addiin	41478
addilep	17394
addilipen	2676
addiō	2676
addo	5352
Adma	6690
Adna	5352
Adonai	6690
Adonaija	34788
Adonaikam	4014
Adonairam	2676
Adoram	2676
Adramelek	4014
Adulam	14718
adwōj	66901
ae	17394
aebōj	97676
aebōjbōj	2676
aelōñ	2106060
aemedḷọk	52183
aeṃōḷoḷo	5352
aen	2676
aenōṃṃan	636902
aeñwāñwā	5352
aer	4250923
aeraṃ	4014
aerami	5352
aeran	42816
aerar	2676
aere	6690
aereir	9366
aerō	4014
aerro	18732
aet	1102537
aetok	86971
aetokan	123098
aetokeir	2676
aetoker	2676
aetokḷọk	8028
Aetokōn	16056
Agebōs	2676
Agrippa	16056
Ahaikam	2676
Ahaiman	2676
Ahiezar	6690
Ahikam	20070
Ahimelek	16056
Ahisamak	2676
Aho	2676
Aia	6690
aiboojoj	599437
aidik	40140
āierwōt	25422
Aijalon	13380
Aijon	4014
aik	101690
aiki	4014
Aikoniōm	8028
aikuj	275634
aikuji	2676
ailparo	4014
āin	74929
ainbat	22746
āindein	2601131
aine	14718
aini	104366
ainikiem	4014
ainikiemi	2676
ainikien	669015
Āinikien	2676
ainikier	88310
ainikiō	74929
ainikiōṃ	42816
ainiḷọk	2676
ainitok	21408
āinjuon	29436
āinḷọkwōt	2676
aintok	10704
āinwōt	5049727
Aira	8028
Airad	2676
aire	22746
airro	13380
airuwaro	20070
Aisak	176620
Aiseia	73591
aitwerōk	13380
aitwerōke	2676
aivori	14718
aj	16056
āj	40140
aje	41478
ājeir	4014
ajej	96338
ajejḷọk	13380
ajeḷọk	16056
ājenkōj	4014
āji	2676
ājib	2676
ājin	4014
ājinkōj	13380
ajjikade	2676
ajjukub	12042
