Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 268095

a	421492
aahe	123090
aahimb	22380
aaholin	11190
aahôôvu	3730
aahulis	7460
aaliinggis	11190
aalingin	3730
aalinj	3730
aalipis	18650
aaloh	18650
aalohak	3730
aalohvu	197691
aalokalaam	3730
aalom	3730
Aalon	18650
aalôôh	7460
aalos	3730
aalukalaam	7460
aalupake	7460
aaluus	7460
aamangg	14920
Aamangg	488632
aambe	7460
aambêêl	7460
aambiing	436412
aambiliyak	3730
aambindis	3730
aambu	186501
aandiin	7460
aandôôpis	3730
aandôôvu	37300
aandukana	14920
aanduuh	3730
aanduus	7460
aanêêl	216341
aanêêlin	7460
aangge	115630
aanggilin	11190
aanggimb	67140
aanggulis	14920
aanjêênin	44760
aanjêêvu	3730
aanjiinggis	7460
aanjingin	3730
aanjipis	7460
aanjôôy	7460
aanjop	14920
aanjul	3730
aanjuus	3730
aanoh	3730
aanohak	22380
aanom	22380
aanôôh	14920
aanôôn	22380
aanos	3730
aanum	3730
aanyiis	29840
aasu	7460
aasupin	14920
aatok	70870
aatokak	11190
aatovu	63410
aatu	149200
aavu	26110
aavun	11190
aawii	41030
aawiing	134280
aawiingin	145470
aayêênin	11190
aayiis	7460
Abadon	3730
Abaiat	7460
Abaiata	3730
Abaisa	11190
Abalaam	544583
Abel	33570
Abilini	3730
Adam	59680
Adlamitiam	3730
aen	14920
Agabas	11190
aget	3730
Aglipa	63410
aha	14920
ahe	746004
ahêê	3730
ahehees	11190
ahekalin	227531
ahelaanggo	3730
ahelangaah	3730
ahelasu	29840
ahelavis	108170
ahelu	41030
aheluu	7460
ahem	387922
ahemasangin	3730
ahembaan	70870
ahembalap	11190
ahend	380462
ahendangga	3730
ahendanggaa	7460
ahendbaan	18650
ahengg	59680
ahenggbaan	3730
ahengook	3730
ahepataas	18650
ahesa	7460
aheseseey	11190
aheta	18650
ahevaavu	167850
ahevaha	3730
ahevalôôy	11190
ahilin	29840
ahimb	11190
aholin	3730
ahondoos	331971
ahondoosin	29840
ahôôvu	26110
ahosin	3730
ahulis	7460
ahus	156660
ahusaandiin	29840
ais	3730
Ais	951155
ak	2965366
aka	126820
Akaia	41030
Akaiaa	11190
Akaikas	3730
akam	925045
akand	335701
akangg	115630
Akeldama	3730
Akeleas	3730
Akipas	7460
Akwila	26110
ala	283481
alaah	7460
alaam	138010
alaas	59680
