Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 999561

၀က်	6002
၀င်	36015
၀င်း	4001
၀တ်	11004
၀န်	62027
၀န်း	3001
၀မ်း	5002
၀ယ်	8003
၁၀၀ကျော်	3001
၁၀နာရီ	4001
၁၀နှစ်	6002
၁၀ယောက်	5002
၁၀ရာခိုင်နှုန်း	3001
၁၀ရက်	3001
၁၀ဝ	14006
၁၀ဦး	4001
၁၁ရက်	6002
၁၁ဦး	8003
၁၂၀ကျော်	3001
၁၂ယောက်	3001
၁၂ရက်	5002
၁၂ဝ	3001
၁၂ဦး	4001
၁၃ရက်	5002
၁၃ဝဝ	4001
၁၄နှစ်	4001
၁၄ရက်	4001
၁၅နှစ်	3001
၁၅ရက်	4001
၁၅ဝ	8003
၁၅ဦး	3001
၁၆ကြိမ်	4001
၁၆နှစ်	4001
၁၆ရက်	5002
၁၆ဝ	4001
၁၇ရက်	4001
၁၉၇ဝ	3001
၁၉၈ဝ	4001
၁၉၉၈ခု	4001
၁ပုံ	3001
၁ရက်	8003
၁ဝ	78034
၁ဝ၅	7003
၁ဝဝ	27011
၂၀၁၁ခု	3001
၂၀၁၂ခု	3001
၂၀၁၄ခု	6002
၂၀၁၅ခု	5002
၂၀၁၆ခု	9003
၂၀၁၆အတွင်း	3001
၂၀၁၇ခု	6002
၂၀ရက်	3001
၂၀ဝ	23010
၂၀ဝ၀	4001
၂၀ဝ၆	4001
၂၀ဝ၈	7003
၂၁၀ဝ	3001
၂၁ရာစု	18007
၂၁ရက်	3001
၂၂ရက်	3001
၂၃ရက်	4001
၂၄ရက်	11004
၂၅ရက်	7003
၂၅ဝ	3001
၂၇ဝ	3001
၂၈နှစ်	3001
၂၉ရက်	5002
၂ကြိမ်	3001
၂ခု	8003
၂နာရီ	3001
၂နိုင်ငံ	5002
၂နှစ်	7003
၂ယောက်	13005
၂ရက်	7003
၂ရက်ကြာ	3001
၂ဝ	53023
၂ဝ၁ဝ	5002
၂ဝ၂ဝ	7003
၂ဝဝ	10004
၂ဝဝ၁	3001
၂ဝဝ၃	3001
၂ဝဝ၅	7003
၂ဝဝ၇	4001
၂ဝဝ၈	10004
၂ဝဝ၉	7003
၂ဝဝဝ	10004
၂သောင်း	4001
၂သိန်း	8003
၂ဦး	13005
၃,၆၀ဝ	3001
၃၀ဝ	13005
၃၁ရက်	3001
၃ခု	3001
