Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 185887

a	710108
A	1570846
aa̱	10759
Áa̱n	10759
Aaroo̱n	26898
Abba	16138
Abe̱	10759
Abee̱	21518
Abíaa̱	16138
Abiu̱d	10759
Abraa̱m	629414
achichí	3324600
Adaa̱n	64555
Adii̱	10759
Agaa̱r	16138
Agabo̱	10759
Agripa̱	37657
Agripaa̱	48416
Akaa̱	10759
akake	10759
akakée̱	10759
akako	21518
akakona	21518
akakoo̱	69934
akakoyaá	37657
akakoyájne̱	16138
akakoyájnú	32277
akasíyaá	21518
akatíchá	10759
akatíjeé	21518
akatíñájnú	10759
akatíñí	10759
akatíxomaa̱	10759
akayá	16138
Akaya̱	59175
akayajo̱	16138
Akii̱m	10759
Akilaa̱	43036
akja̱'míra̱	21518
akjaa̱	26898
akjana	16138
akjandajo̱	10759
akjángá	86073
akjanguita'injnú	10759
akjanijín	16138
akjanijínjnú	10759
akjat'a	134490
akjat'ajnú	16138
akjaya	26898
akjenráa̱	10759
ako	10759
akó	242082
akójne̱	10759
akójnú	10759
akóna	69934
akóná	26898
akoó	220564
akóo̱	10759
akoyá	16138
akóyá	225943
akóyaá	112971
akóyájnú	26898
akoyájnú'un	43036
akóyána	21518
akóyáná	16138
Alejandría̱	21518
alfaa̱	16138
Alfeoo̱	26898
Aminadab	21518
amingo̱	48416
amingo̱na	21518
amingoo̱	69934
Amóo̱	10759
Amoo̱n	10759
an	12373108
Anáa̱	21518
Ananía̱	32277
Ananíaa̱	37657
aniejón	21518
aniéjón	37657
aniéjónjín	10759
aniéjónni	16138
ánjín	129110
ánní	145249
Ánní	193666
ant'e̱na	10759
ant'e̱ra̱na	10759
Antiokía̱	118351
Apoloo̱	59175
apostro̱	199045
apostro̱jín	10759
apostroo̱	365813
Araa̱m	21518
Arabia̱	16138
arameo̱	10759
Ara̱n	10759
Arfajad	10759
Arimatea̱	21518
Aristarkoo̱	26898
Arkipoo̱	10759
arpa̱	21518
arpaa̱	10759
Artemisaa̱	32277
Asaa̱	10759
Asee̱r	10759
Asia̱	112971
a̱sie̱én	268980
asién	102212
a̱sién	833839
A̱sién	1624642
asiénnijoo̱n	21518
asiénsón	21518
asient'áa̱	10759
asiént'aa̱	53796
asíkjo	16138
asíko̱jo	96833
asíko̱jona	37657
asíndaá	16138
asíyá	145249
asíyaá	527202
asíyáa̱	16138
