Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 172161

a	43267639
aabalaen	11617
aabuloyan	23234
aakusaen	11617
aalagaren	46468
aalagden	46468
aalagdey	29042
aaligen	23234
aanapen	127787
aanapey	29042
aanien	17425
aaniyen	34851
Aanosan	17425
aaripenen	17425
aaroen	23234
aaroey	17425
Aaron	29042
aasikasoen	29042
aawaten	34851
abageyen	11617
abalang	110361
abalaten	46468
abalbalang	11617
abalitaan	121978
abalo	23234
abaloan	220723
abalur	29042
abangon	17425
abasa	52276
abay	104553
abayag	232340
abaybayag	17425
abeba	29042
abeban	29042
abel	145212
abet	11617
Abias	17425
Abiatar	11617
abig	40659
abilang	11617
abilay	29042
abindisionan	11617
abinyagan	69702
abirbir	69702
Abiud	11617
Abraham	540192
abuek	23234
abuloy	17425
abuloyan	52276
abung	1330150
abuno	11617
abut	69702
abuybuyak	11617
Acaya	58085
Acaz	11617
Adan	69702
adarak	17425
aderal	46468
Adi	11617
Admin	11617
adusa	11617
Adusa	11617
adya	11617
ag	15903718
Agabo	11617
agagi	1022298
agagid	75510
agagik	156829
agagim	58085
agagin	104553
agamuran	58085
agano	63893
aganon	11617
Agar	11617
agastos	23234
agawa	418213
agawaan	11617
agawad	197489
agawan	34851
agawgawa	40659
agawgawad	11617
agaylay	180064
Agaylay	278808
agew	2718385
agewlabin	11617
agi	453064
agid	11617
agik	52276
agila	11617
agim	139404
agin	40659
Agoloy	34851
agolunggolungan	11617
agos	11617
Agripa	81319
agunggona	11617
agunigon	46468
agwaten	11617
Aha	11617
ak	5338026
akaalagey	75510
akaampoti	17425
akaamut	40659
akaawat	46468
akabariber	11617
akabat	11617
akabatan	92936
akabatay	23234
akabatik	11617
akadngel	104553
akagawaan	11617
akagaway	11617
akaimaton	11617
akakabayo	58085
akakabayod	29042
akakaput	11617
akakawes	110361
akakolibemben	11617
akakpel	11617
Akaliber	11617
akaliktar	17425
akalogan	11617
akalokas	17425
akaloob	23234
akamokut	11617
akan	29042
akanabung	29042
akanengneng	127787
akankayaryan	11617
akankien	29042
akankiey	23234
akanlupa	17425
akanngaran	17425
akanubas	17425
akaogip	63893
akaoley	17425
Akaoley	17425
akaona	23234
akaonan	29042
akapandung	17425
akapangiter	11617
akapankawes	11617
akaparaan	133595
akapasnuk	11617
Akapasnuk	11617
akapinabang	11617
akapipaknaan	11617
akar	69702
