Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 262780

a	45665
a'n	3428723
a'nam	312048
aa	26638
aachakéta	7610
aachii	11416
aaDios	38054
aahermano	76109
aaholohik	7610
aaj	41860
aajosq'iil	11416
aajot'ariik	11416
aajwanik	7610
aak'aas	30443
aak'achariik	72303
aak'al	49471
aak'axkiil	7610
aak'b'isaj	7610
aak'uhb'aal	11416
aak'uhb'aaljiik	30443
aak'un	15221
aakamaj	11416
aakamísa	7610
aakarote	7610
aakaxáro	22832
aakooch	19027
aakorona	11416
aal	60887
aaloq'il	11416
aamaam	87525
aamahk	15221
aana'ojb'al	11416
aaq	129385
aaq'ab	11416
aareey	7610
aaReey	11416
Aarón	19027
aasb'ees	22832
aasjik	144607
aasjinaq	68498
aasjoq	19027
aatiij	19027
aatinamiit	41860
aatuut	11416
aatz'aam	11416
aawajaaw	7610
aaWaJaaw	136996
aawas	133191
aawooq	57081
aaye'aab	19027
ab'ahiil	34249
ab'aj	422406
ab'eeh	38054
ab'ehomal	34249
ab'ihnaal	19027
ab'ihnaam	7610
ab'iix	60887
ab'iram	117969
ab'ixoom	7610
Abel	19027
Abías	11416
Abiud	7610
Abraham	418601
Acaya	53276
Acaz	7610
ach	285409
ach'aht	26638
ach'ihch	15221
ach'ikaam	7610
achaaq	152218
achejem	7610
achiim	15221
acholiik	7610
achopom	30443
Adán	64692
Adi	7610
Agabo	7610
Agar	7610
Agripa	57081
aha	1221554
ahaa	171245
ahl	26638
ahq	76109
ahqaal	19027
ahuuj	22832
aj	9079838
ajaab'ees	285409
Ajaab'ees	323464
ajaab'esil	49471
ajaaw	7610
ajaawriik	19027
ajal	15221
ajalam	11416
ajalb'aal	7610
ajiim	26638
ajileq	117969
ajilow	7610
ajlaamb'al	7610
ajlamaj	22832
ajwaal	369130
ak	905700
ak'aah	7610
ak'aas	7610
ak'achab	15221
ak'achariik	26638
ak'achrisaj	7610
ak'al	1807595
ak'amam	19027
ak'axam	38054
ak'axariik	26638
ak'ihaal	7610
ak'ixb'ilaal	7610
ak'ixiik	7610
ak'laj	34249
ak'uhb'alem	15221
ak'uhtaam	26638
ak'ul	7610
ak'uliik	7610
ak'ulum	254966
ak'ulwiik	7610
ak'un	201689
ak'unanik	15221
ak'unoom	15221
ak'utjaam	7610
ak'uunb'ees	83720
Ak'uunb'ees	437628
ak'ux	1662988
