Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 119902

Abel	33360
Abelta	33360
Abías	16680
Abraham	333605
Abrahamga	83401
Abrahamnog	25020
Abrahampa	250204
Abrahampis	25020
Abrahampita	58381
Abrahamta	308585
Abrahamtapis	16680
Abrahamwan	33360
Acaya	58381
Acayacho	25020
aceiti	25020
aceitinta	16680
aceitita	58381
achäquilawan	16680
achäquita	41700
Achyä	25020
acramashcantsi	25020
acramashga	158462
acramashganpitami	16680
acramashganta	16680
acrananpa	16680
acrapäcorgan	33360
acrapäcushushcanqui	41700
acraptinpis	16680
acrarcamar	16680
acrarga	16680
acrargan	100081
acrarpis	16680
acrashcä	50040
acrashga	25020
acrashgan	258544
Acrashgancunata	16680
acrashgayqui	25020
acrashun	16680
acrashushcanqui	125102
acu	16680
Acu	100081
Adán	33360
Adanpa	25020
Adanta	33360
adoracunan	16680
adorag	58381
adoragcuna	16680
adoramaptiquega	16680
adorananpa	33360
adorananpag	100081
adoranäpag	25020
adoranqui	16680
adorapäcamaptinpis	16680
adorapäcog	25020
adorapäcongapag	16680
adorapäcorgan	66721
adorapäcorgantsu	16680
adorapäcun	41700
adorapäcunanpag	41700
adorapäcuytsu	16680
adorar	75061
adorarcaycanqui	25020
adorashga	16680
adorashgan	16680
adorashpan	25020
adorashun	25020
adoraycan	25020
adorayga	16680
adornashga	16680
adulterio	241864
afilashga	50040
Agabo	16680
agacuycagpita	16680
Agarpa	16680
agradëcicärë	58381
agradëcicärenga	16680
agradëcicärengapag	16680
agradëcicärergan	16680
agradëcicäriy	50040
agradëcicö	108421
agradëcicorgan	141782
agradëcicur	66721
agradëcicurmi	16680
agradëcicushpan	16680
agradëcicushun	33360
Agripa	91741
agtsanta	58381
agtsanwan	33360
agtsayquita	16680
agtutsin	16680
aguman	16680
ajayaypa	333605
ajayaypami	50040
alabä	16680
alabacäriytsu	25020
alabacongatsu	16680
alabacunanpa	16680
Alabacunayquipa	16680
alabacur	33360
alabacuycashgäta	16680
alabamänan	16680
alabananpag	66721
alabananpagmi	16680
alabangapag	16680
alabanzata	25020
alabapäconga	25020
alabapäcongapag	16680
alabapäcorgan	50040
alabapäcushunqui	16680
alabapäcuy	83401
alabaptinmi	16680
alabar	41700
alabaraycar	25020
alabarcaycagta	16680
alabarcaycan	16680
alabargan	75061
alabashga	333605
alabashgalannami	16680
alabashpan	33360
