Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 184004

a	4858590
A	6255298
Aaronoki	16303
Abba	10869
Abel	16303
Abeleko	16303
Abraam	288037
Abraame	86954
Abraamea	10869
Abraameke	70650
Abraameki	103258
Abraameko	16303
acha	86954
achada	16303
achadine	10869
achara	27173
acharau	59781
acharava	10869
acharda	48911
acharde	92389
achardea	16303
acharden	21738
achardimaia	10869
achardol	76085
achare	21738
acharel	81519
acharela	27173
acharelpe	10869
acharen	385861
acharena	32607
acharenlen	10869
acharenpe	10869
achau	92389
achava	10869
achavaia	16303
achavel	43477
achavela	10869
achaven	86954
achavenpe	10869
ache	21738
achel	608682
achela	92389
achen	402165
achena	38042
achi	21738
Achi	21738
achilaia	10869
achilam	86954
achilan	10869
achile	233690
achilea	16303
achilem	27173
achilen	16303
achili	103258
achilia	16303
achilo	374991
achiloia	16303
Adan	43477
Adaneki	10869
Adaneko	16303
aduricha	16303
adurichara	146735
aduricharaia	10869
aduricharau	54346
aduricharda	10869
aduricharde	16303
aduricharel	59781
aduricharela	43477
aduricharen	135866
aduricharena	38042
Aeropago	16303
Agabo	10869
Agar	16303
agila	10869
Agripa	70650
aide	59781
Aide	114127
Akaia	32607
Akalla	27173
akana	1836916
Akila	27173
akka	293471
akkaia	10869
akkenchar	27173
alabastrako	10869
alau	722810
alava	1124975
alavea	10869
alavenchar	184778
alavenge	10869
Alejandria	21738
Alejandro	21738
Aleluia	21738
alfa	10869
Alfa	10869
Alfeoko	27173
allive	201082
alluni	16303
allunin	54346
allunina	10869
allunisarde	10869
altar	81519
amal	108693
amala	16303
Amala	38042
amale	27173
amalen	38042
amare	695637
amarendar	32607
amari	179343
amaro	1092367
amen	4793374
amenchar	255429
amendar	255429
amende	494554
amenge	728245
amilpe	16303
amime	32607
amin	10869
aminpe	16303
amisaile	10869
amisao	21738
an	27173
Ana	10869
anada	10869
anado	10869
Ananias	70650
Anas	21738
anau	940196
anava	59781
anda	54346
andam	21738
ande	10853024
andem	16303
anden	16303
ando	8157431
andral	103258
andre	429338
Andres	43477
Andrese	16303
Andreseko	10869
ane	21738
anel	86954
anela	21738
anen	141301
anena	54346
angla	1402143
anglal	1130410
angle	407599
anglune	16303
angluno	38042
angrusti	10869
antikristo	21738
Antiokia	130431
Apiake	10869
Apogodisar	10869
Apolo	59781
apostol	135866
apostolen	32607
apostolenchar	21738
