Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 545968

a	205140
Aaron	9158
aba	919467
ababa	25642
Ababa	47621
ababajwe	16484
ababana	12821
ababanyi	7326
ababara	5494
ababarirwa	16484
ababeshi	5494
ababibonye	14652
Ababibonye	40295
Ababikira	5494
ababikoze	14652
ababikurikiranira	5494
ababo	18316
Ababonye	7326
Ababuranira	12821
ababuriye	9158
ababuze	5494
ababwira	12821
ababyeyi	47621
abacamanza	100738
abacangero	5494
Abacha	5494
abacibaza	16484
abacitse	20147
Abacungera	5494
abacururiza	5494
abacuruza	10989
abacuruzi	29305
abadandaza	25642
abadashaka	7326
Abadashigikiye	9158
abademokrate	29305
abadepite	32968
Abadereva	5494
Abadi	23810
abafana	93412
abafaransa	18316
Abafaransa	21979
abafasha	16484
Abafasha	16484
Abafashe	7326
abafashwe	9158
Abafashwe	14652
abafata	7326
abafise	65937
abafite	12821
abaforomo	5494
abafundi	5494
abafungwa	7326
abagabo	179497
abagabye	9158
abaganda	7326
abaganga	141033
abagavye	5494
abagenda	9158
abagendana	18316
Abagendera	5494
abagendesha	14652
abagenzi	84254
abagenzura	5494
abagenzuzi	7326
abagera	78759
abageze	12821
abagira	38463
Abagiraneza	5494
abagiriye	5494
abagiriza	9158
abagirizwa	29305
abagiwe	7326
abagiye	18316
abagize	108064
abagizweho	10989
abagore	296720
abaguye	16484
abaguze	5494
abaguzi	16484
abagwa	5494
abagwanira	7326
abagwanya	7326
Abagwanya	7326
abagwanyi	272909
abagwaye	12821
abagwayi	29305
abagwizatunga	7326
abaha	7326
abahaba	5494
Abahaba	5494
abahagarariye	20147
abahagarikizi	16484
abahanga	5494
Abahanga	7326
abahanganye	5494
Abahanganye	5494
abahangtanye	5494
abahanuzi	5494
abaharanira	14652
Abaharanira	23810
Abaharugwa	10989
abahasize	10989
abahezanguni	5494
abahiganwa	14652
abahinde	9158
abahinga	60443
Abahinga	108064
abahitanywe	12821
abaho	9158
abahora	20147
abahoze	16484
abahunga	7326
abahungu	34800
abahunze	16484
abahutu	25642
abahuye	20147
abahuza	16484
abaja	23810
abaje	29305
abajejwe	285731
abajijwe	10989
Abajijwe	64106
abajyanama	9158
Abakagize	5494
abakandida	64106
abakeba	5494
abakekwa	7326
Abakekwa	7326
abakene	27474
abakeneye	5494
abakenguzamateka	25642
abakenya	27474
abakenyezi	25642
abakerarugendo	20147
