Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 143373

᱐᱒ᱺ	90672
᱐ᱚᱞ	20924
᱐ᱚᱞᱟ	13949
᱐ᱚᱠᱚᱭ	13949
᱐ᱚᱨᱟᱣ	13949
᱐ᱚᱨᱱᱤ	13949
᱐ᱟᱞᱟ	55798
᱐ᱟᱞᱢᱟ	13949
᱐ᱟᱦᱮᱱ	13949
᱐ᱟᱦᱮᱸ	209244
᱐ᱟᱦᱮᱸᱡ	97647
᱐ᱟᱦᱮᱸᱫ	20924
᱐ᱟᱦᱮᱸᱭᱟ	20924
᱐ᱟᱦᱮᱸᱱ	20924
᱐ᱟᱦᱮᱸᱱᱟ	55798
᱐ᱟᱭᱚᱢ	76722
᱐ᱟᱲᱟᱢ	20924
᱐ᱟᱹᱨᱤ	20924
᱐ᱟᱹᱨᱩᱵ	41848
᱐ᱟᱺᱜᱤ	34874
᱐ᱤᱞᱚᱠ	20924
᱐ᱤᱞᱠᱟᱹ	41848
᱐ᱤᱠᱤᱱ	27899
᱐ᱤᱥ	27899
᱐ᱤᱨᱞᱟᱹ	34874
᱐ᱤᱨᱤᱧ	20924
᱐ᱤᱱᱟᱹᱜ	76722
᱐ᱤᱲᱚᱠ	13949
᱐ᱤᱸᱜᱩ	13949
᱐ᱩᱞᱩᱡ	13949
᱐ᱩᱢᱟᱹᱞ	13949
᱐ᱩᱧ	83697
᱐ᱩᱨᱩᱭ	34874
᱐ᱮ	781179
᱐ᱮᱜᱮ	90672
᱐ᱮᱠᱚ	83697
᱐ᱮᱢ	27899
᱐ᱮᱥᱟᱨ	13949
᱐ᱮᱦᱚᱸ	13949
᱐ᱮᱭ	55798
᱐ᱮᱭᱟᱨ	27899
᱐ᱷᱚ᱐ᱱᱟ	13949
᱐ᱷᱚᱠ	20924
᱐ᱷᱟᱨ	13949
᱐ᱷᱟᱱ	20924
᱐ᱷᱟᱱᱟ	34874
᱑᱐ᱺ	27899
᱑᱒ᱺ	20924
᱑᱕ᱟᱜ	13949
᱑ᱹ	20924
᱒ᱭᱟ	13949
᱒ᱹ	13949
à	188319
â	90672
ªà	20924
ᱚ	132521
ᱚᱛ	418488
ᱚᱛᱟ	69748
ᱚᱛᱮ	27899
ᱚᱛᱱᱚᱜ	13949
ᱚᱜᱚᱥᱴ	27899
ᱚᱜᱚᱨᱣᱟᱞ	20924
