Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 264341

a	4252083
aa	7565
aang	525835
Abadon	3782
Abaisa	7565
abalabo	3782
abama	3782
abangwo	3782
Abayat	3782
Abayata	3782
abe	11348
Abe	75659
abeng	3782
abimbi	30263
abin	26480
abina	7565
abinambi	22697
abing	15131
abirungure	3782
abiyame	26480
abring	3782
adagi	18914
Adam	75659
Admin	7565
Adramitiam	3782
aga	3782
Aga	3782
Agabas	11348
agal	22697
agarai	3782
Aget	3782
agi	37829
agir	64310
agr	105923
Agripa	45395
Agripao	7565
Agripaye	3782
aho	3782
aholo	3782
ai	397214
Aibilini	3782
aibin	15131
aibina	11348
aibing	310205
aidolala	30263
aidolalga	11348
aidolam	15131
aidolama	11348
aidolamba	3782
aidolame	3782
aidolamia	7565
aidolaminga	7565
aidolaminio	7565
aidolaminua	3782
aidolamna	3782
aidolamne	3782
aidolamua	18914
aidolamue	3782
aidolana	3782
aidolanga	18914
aidolangere	3782
aidolangure	3782
aidolangwo	71876
aidolania	3782
aidole	783079
aidolekimia	7565
aidolekinama	11348
aidolekinamia	3782
Aidolekinaminga	3782
aidolekinamne	3782
aidolekinamo	3782
aidolekinamua	3782
aidolekinana	3782
aidolekinanga	3782
Aidolekinanga	3782
aidolekinangwo	11348
aidolekinia	3782
aidolekinirawa	3782
aidolekio	3782
aidolekiralia	3782
aidolekire	26480
aidoleminia	3782
aidolere	204281
aidoligere	3782
aidolimba	11348
aidolimia	11348
Aidolimingere	7565
aidoliminia	3782
aidolimino	3782
aidoliminua	3782
aidolimno	3782
aidolimo	3782
aidolimua	26480
aidoline	3782
aidolinga	3782
aidolinia	3782
aidolinua	3782
aidolkirala	3782
aidolo	45395
aidolungure	3782
Aidolungure	3782
aidolungwi	7565
aidolungwo	11348
Aidolungwo	11348
Aikoniam	26480
ailan	7565
aimbi	7565
aina	3782
ainaa	3782
aine	185366
ainere	196715
aing	7565
aingbi	3782
aini	3782
ainimbi	3782
ainingere	3782
ainungwo	3782
airala	3782
airalga	41612
airalgiwe	3782
airalua	64310
airama	11348
airame	7565
airaminga	30263
airamingere	3782
Airamingere	3782
airaminua	11348
airamo	15131
airamua	68093
airanga	3782
airangure	3782
Airangure	3782
Airangwiwe	3782
airangwo	79442
airanua	3782
aire	703636
airekima	3782
airekinamba	3782
airekinaminga	11348
airekinamua	22697
airekinangwo	11348
