Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 206168

aabaakaalɛ	9700
aabaayila	9700
aabadu	9700
aabafe	14551
aabafũ	14551
aabakaalɛ	14551
aabakakatɛ	9700
aabakple	14551
aabakyakako	9700
aabanya	24252
aabapɛ	24252
aabatɔkɔ	53354
aabayila	38803
aabɛ	14551
aabɛbɛɛ	24252
aabla	485041
aablako	29102
Aabɔmbɔ	9700
aabu	14551
aabudi	29102
aabuɛ	1285359
aabuo	121260
aadie	276473
aadieko	29102
aadiɛ	116409
aadiki	460789
aadu	24252
aafaa	82457
aafe	101858
aafee	33952
aafenko	92157
aafiɛ	33952
aafifia	19401
aafoto	19401
aafũ	237670
aafuki	19401
aafuo	111559
aafuɔ	9700
aafuusa	9700
aaka	126110
aakaa	19401
aakaako	9700
aakaalɛ	509293
aakakatɛ	97008
aakalɛ	9700
aakanko	33952
aakata	9700
aakɛnsa	9700
aakle	9700
aaklee	43653
Aaklee	43653
aakookaa	19401
aakɔntɔ	9700
aakpa	43653
aakpaa	126110
aakpana	33952
aakpanko	43653
aakpasa	14551
aakpee	455938
aakpeeko	9700
aakpeesa	33952
aakpete	106709
aakpɛ	19401
aakpɛko	9700
aakpi	194016
aakple	397733
aakplesa	43653
aakusɛkusɛsa	14551
aakyakaa	58204
aakyakaako	19401
aakyakako	43653
aakyako	169764
aakye	242520
aakyeko	320127
aakyesee	67905
aakyɛ	412285
aakyɛlɛnsa	9700
aakyɛnko	48504
aakyi	48504
aakyisa	19401
aakyɔnkyɔ	24252
aakyɔɔ	19401
aalaabudi	14551
aalaabuɛ	9700
aalaabuo	92157
aalaadu	19401
aalaafe	19401
aalaafũ	33952
aalaakaalɛ	24252
aalaakakatɛ	14551
aalaakakatɛko	9700
aalaakookaa	9700
aalaakpanko	9700
aalaakpee	24252
aalaakpi	9700
aalaakya	9700
aalaakyakako	24252
aalaalɛɛ	9700
aalaamufũ	9700
aalaanya	63055
aalaanyu	14551
aalaapɛ	43653
aalaasa	14551
aalaase	9700
aalaasĩ	9700
aalaasiɛ	106709
aalaata	14551
aalaate	9700
aalaatika	14551
aalaatikiti	14551
aalaatoobuɛ	14551
aalaatootuo	9700
aalaatɔkɔ	97008
aalaatuo	14551
aalaawi	9700
aalaawolaa	9700
aalaaya	9700
aalaayie	14551
aalaayila	24252
aalaayɔ	53354
aalaka	19401
aalalaasa	14551
