Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 323543

a	38498746
a'aun	9272
aa	18544
aafon	6181
aagaar	3090
aangom	3090
aapeits	27817
aar	6181
aar'aar	12363
aaruts	259625
aatai	86541
aatouf	618155
aatsits	64906
aave	377075
aavem	64906
aaven	361621
Aaven	1023047
aaver	55634
aaverof	324531
aavev	3090
Abaadon	3090
Abiata	3090
Abiis	15453
Abija	9272
Abilene	3090
Abraham	445072
Abuid	6181
Adam	74178
Adi	6181
Adironaikas	3090
Afaksat	6181
afis	30907
aga	9272
agaagon	21635
Agabas	15453
agiir	287442
agio	108177
agion	12363
Agripa	52543
ai	6027019
aifang	3090
Aimenias	6181
Ainon	3090
ainy	1594842
ainyainy	30907
ainysat	176174
ais	12363
Aisaia	281260
Aisak	92723
Aito	3090
aiyan	12363
ak	12363
aka	3090
akaakoor	30907
akaakor	6181
Akaia	21635
Akaiakas	3090
akakoor	6181
akat	3090
Akedama	3090
Akelas	3090
Akipas	6181
akoor	71087
Akuila	18544
Akuilan	3090
Aleksanda	18544
Aleksandria	12363
Aleluya	12363
Alfias	15453
am	905598
Amageden	3090
amam	519250
amaraav	426527
amatsuan	30907
Ametis	3090
Amfipolis	3090
ami	2692068
amin	469798
Aminadap	12363
Amon	6181
Amos	12363
amov	154538
Ampiriatas	3090
amus	126721
an	5313049
ana	16062779
anaanos	500706
Ananaias	43270
ananerof	40180
Anas	21635
Anduru	40180
angif	3090
Anna	3090
anofe	404892
anofen	6181
Antipas	3090
Antipatris	3090
anyi	2107911
anyin	98904
anyo	911779
Anyo	976686
anyon	179265
apan	3090
Aperes	3090
Apia	3090
Apius	3090
Apolion	3090
Apolonia	3090
Apolos	52543
ar	383256
ar'ar	3090
ara	1276491
Aramitiam	3090
aran	154538
arasan	615065
Arats	3090
Aretas	3090
ari	2902241
Arimatia	12363
arin	599611
Ariopagas	9272
Arisoburus	3090
Aristakas	15453
Arni	6181
aruwas	21635
as	40180
as'as	92723
asa	3090
Asa	6181
asang	30907
asanga	166902
asangam	3090
Asangam	3090
asangan	788148
asangar	55634
asase	9272
Asia	3090
Asingiritas	3090
asiny	3090
Asos	6181
Asotas	3090
aspeer	27817
Atalia	3090
atang	6181
Atemas	3090
Atemis	15453
Atens	30907
Atmin	6181
atoiny	71087
aton	12363
atou	49452
atsaatsun	6181
atsuiny	540886
atsun	231808
au'au	3090
