Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 166907

aalit	11982
abad	23965
abadi	35948
abdi	2444475
abdina	47930
abdining	35948
Abia	17974
Abinadab	11982
Abiud	11982
abot	11982
acan	617110
aceh	11982
acining	11982
Adam	59913
adat	155775
adegan	41939
adi	35948
adigung	23965
adil	269611
adilna	23965
adina	41939
adonan	23965
adu	23965
Aduh	11982
aeb	23965
aebna	23965
Agabus	11982
agama	245645
ageung	29956
Agripa	59913
agul	209697
agulkeuneun	11982
agung	149784
Agung	479308
agungna	65904
Ahas	11982
Ahaya	65904
aheng	47930
ahengna	23965
aherat	17974
Ahim	11982
ahir	185732
ahirna	227671
ahli	952626
aing	167758
aingan	11982
ajag	17974
ajaib	215688
ajal	161766
ajar	11982
ajaran	77887
ajeg	17974
ajrih	65904
ajug	23965
ajur	11982
akal	143792
akalna	17974
akar	53922
akarna	29956
akibatna	23965
akon	47930
akuan	11982
Akuila	47930
akur	53922
al	23965
Al	3822487
alah	11982
alam	635084
alas	83879
Aleksander	23965
Aleksandri	11982
aleutan	11982
Alif	17974
alim	17974
alip	11982
allah	11982
Allah	11371602
almaot	17974
alona	11982
Alpius	29956
aluk	23965
alukan	23965
alum	11982
alungkeun	11982
alus	95861
alusna	65904
ama	23965
Ama	832799
amal	137801
amalan	23965
amalanana	11982
aman	23965
amanat	173749
amarah	65904
ambeh	11982
ambek	41939
ambruk	11982
amburadul	11982
Amin	161766
amit	11982
amitan	23965
Amon	11982
amprok	47930
ana	359481
anak	1306116
anaking	41939
Anaking	95861
anakna	191723
Ananias	77887
Anas	23965
ancam	11982
ancaman	17974
ancer	11982
ancrub	35948
ancur	11982
andika	41939
andiprek	17974
Andreas	71896
aneh	41939
anehna	17974
angen	107844
angenna	11982
anggahota	95861
anggahotana	17974
anggalna	53922
anggang	11982
anggapan	23965
anggel	11982
angger	89870
anggeus	65904
anggoan	47930
anggoana	29956
anggoanana	23965
anggota	347498
anggotana	23965
anggur	623101
anggurna	47930
angin	275602
anging	101853
angka	23965
angkara	11982
angkat	509265
angkatna	35948
angkeng	23965
angkeuh	11982
angkeuhan	11982
angkir	11982
anjang	11982
anjeun	1701546
anjeunna	2007105
Anjeunna	7147693
anjing	65904
anjog	23965
antara	413403
antarana	23965
antawis	11982
anteng	29956
Antioki	155775
antosaneun	11982
antukna	53922
anu	30490033
anugrah	179740
anut	215688
