Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 722270

अकजीब	4153
अकसा	15229
अकसामी	4153
अकीश	17998
अकीशम	5538
अकीशमी	6922
अक्‍कुब	8307
अक्रब्‍बीम	4153
अक्‍वीला	11076
अगस्‍टस	4153
अगाग	16614
अगाबस	4153
अग्रीप्‍पा	13845
अग्रीप्‍पामी	5538
अङगुर	625804
अङगुल	2769
अङस	45689
अज‍जीयाह	4153
अजारयाह	70610
अजारयाहम	2769
अजारयाहमी	2769
अजारेल	8307
अजुबाह	5538
अज्‍गाद	5538
अज्‍जुर	4153
अज्‍मावेथ	12460
अज्‍मोन	2769
अज्रीएल	4153
अज्रीकाम	11076
अडडाम	5538
अतारोथ	8307
अत्‍तै	6922
अत्रोथ	2769
अथाल्‍याह	11076
अथाल्‍याहम	6922
अथाल्‍याहमी	6922
अददार	2769
अददी	2769
अदना	2769
अदबेल	2769
अदमाह	6922
अदायाह	15229
अदार	17998
अदाह	2769
अदीएल	5538
अदुम्‍मीम	4153
अदुल्‍लाम	13845
अदोनी	6922
अदोनीकाम	4153
अदोनीयाह	37382
अदोनीयाहम	4153
अदोनीयाहमी	2769
अदोनीराम	2769
अदोराम	2769
अद्राम्‍मेलेक	4153
अद्रीएल	2769
अधिकार	231215
अधिकारम	12460
अधिकारमी	16614
अनाक	11076
अनाकीम	12460
अनात	2769
अनाथ	2769
अनाथोथ	22152
अनाथोथम	5538
अनान्‍याह	2769
अनामीम	2769
अनार	6922
अनाह	12460
अन्‍काल	119069
अन्‍कालम	20767
अन्‍कालमी	8307
अन्‍तरे	4153
अन्‍द्रीयास	15229
अन्‍द्रीयासमी	4153
अन्‍न	455508
अन्‍नम	2769
अन्‍नमी	5538
अप्‍पाइम	2769
अफेक	6922
अफेकाह	2769
अबारीम	8307
अबी	5538
अबीएजेर	13845
अबीएल	4153
अबीगेल	23536
अबीगेलम	2769
अबीगेलमी	4153
अबीतल	2769
अबीदा	2769
अबीनादाब	17998
अबीनोअम	5538
अबीमा	2769
अबीमेलेक	67841
अबीमेलेकम	6922
अबीमेलेकमी	15229
अबीयाथार	37382
अबीयाम	9691
अबीयाह	37382
अबीयाहमी	4153
अबीराम	15229
अबीशाग	5538
अबीशालोम	2769
अबीशुआ	9691
अबीशुर	2769
अबीशै	24921
अबीशैमी	9691
अबीहु	15229
अबीहेल	8307
अबेद	20767
