Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 121737

а	1199306
аба	197146
абайин	16428
абгай	24643
абгри	24643
абгуз	49286
абгурайириз	16428
абгури	90358
абдал	57501
абйир	287505
абйири	57501
абйириз	82144
абйирин	164288
абйирихъди	32857
абйирихьан	16428
абхъди	57501
абхъдиву	16428
абхъидар	16428
абхъиш	24643
абхънайиз	16428
абхънийи	57501
абхъну	16428
абхъру	180717
абхъу	41072
абхьди	24643
абхьу	16428
абцІна	32857
абцІнайи	82144
абцІнаш	16428
абцІну	65715
абцІру	41072
абцІуз	24643
абццайизра	16428
абццди	16428
абццдичвуз	16428
абццру	24643
ав	41072
Ав	271076
авадан	49286
аваза	106787
Авва	24643
Авелин	24643
авра	24643
авуз	57501
Агав	16428
Агар	24643
Агриппа	57501
Агриппайи	32857
агуб	16428
агуз	82144
агура	24643
агурайи	41072
агурачва	41072
агури	139645
агуру	16428
агъа	82144
Агъа	2686118
агъавал	131430
агъайи	32857
Агъайи	846086
агъайиз	49286
Агъайиз	377863
Агъайиина	16428
Агъайик	16428
Агъайикан	16428
агъайин	24643
Агъайин	969302
Агъайихъ	82144
Агъайихъди	90358
Агъайихьан	65715
Агъайихьинди	16428
Агъайихьна	32857
Агъайиъ	16428
Агъара	32857
агъзрар	24643
агъзрариинди	41072
агъзур	402507
агъзуригъна	16428
агъзурихьнакьан	32857
агъзурна	16428
агъзурсан	24643
агъйир	24643
агъйириз	16428
агъйирин	24643
Агълиж	16428
агъсакълар	32857
агъсакълариз	16428
агъу	16428
агъяхьуз	16428
агь	16428
Агь	24643
агьали	32857
агьалйир	156074
агьалйири	65715
агьалйириз	41072
агьалйирра	32857
агьлар	73929
агьлари	24643
агьлариз	24643
агьлартІан	16428
агьли	16428
агьнакк	24643
агьрар	41072
агьрарра	16428
ад	805014
адаайиз	16428
адабгъ	32857
адабгънайи	16428
адабгъну	41072
адабгъуз	57501
адабгъуза	16428
адабгъуру	24643
адабгъуруш	16428
адабтІну	32857
адабтІури	32857
адагъну	32857
адагъуз	32857
адагъуру	16428
адаиди	16428
адайи	156074
адайиш	16428
адайишра	16428
адайчва	16428
Адам	32857
Адамдиз	16428
Адамдин	24643
адапІуз	41072
адапІча	24643
адар	673583
адарди	484651
адарза	32857
адарзуз	73929
адарин	41072
адаринхъа	32857
адарихь	16428
адарич	16428
адархьидийи	16428
