Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 227520

˻	17580
˻airi	13185
˻Aqao	13185
˻Are	17580
˻Haaru	8790
˻Ihura	13185
˻Ihurara˼	8790
˻Ihuva	30766
˻Ioniva	8790
˻iqi	8790
˻Karaitira	8790
˻Karaitiva	8790
˻Karaitiva˼	17580
˻kia	13185
˻Kia	39556
˻koqemake˼	17580
˻Kotira	8790
˻Kotiva	39556
˻Kotiva˼	13185
˻maa	13185
˻Minti	13185
˻naantiara	8790
˻Naantiara	8790
˻Naaruvai­hairo	8790
˻Ne	21976
˻Ne­vata	8790
˻qamaqara	8790
˻te	13185
˻Te	26371
˻ti	13185
˻vi	8790
˻Vi	52742
˻vika	13185
˻vira	13185
˻Vira	17580
˻viva	8790
˻Viva	21976
˼	79113
aahara	21976
aaharaiqama	8790
aaharauqama	17580
aaharuqama	26371
aahuva	228551
aai	8790
aakara	35161
aami	13185
aanantama	8790
aanantamake	13185
aanante	35161
aanantera	8790
aanantero	8790
aa­naraarora	8790
aa­naraate	26371
aa­naramake	21976
aanare	206575
aanarero	43952
aantau	307665
aantaura	43952
aantaurave	26371
aantauva	35161
aantau­vano	21976
aantau­vata	30766
aantua	17580
aanumaara	92299
aanumaara­vano	13185
aaqaa	35161
aaqaavu	8790
aaqai­hairo	8790
aaqaini	145042
aaqanto	105485
aaqantohai	8790
aaqatai	17580
aaqu	87904
aaquakaa	26371
aaquakaa­vano	17580
aaqu­rihama	8790
aaqu­ri­hama	17580
aaquri­hama	48347
aaqurihama	593354
aaqu­vano	26371
aara	606540
aaraare	13185
aaraarira	8790
aaraate	26371
aarai	52742
aaraihai	8790
aaraini	246132
aarairaro	13185
aarairera	8790
aarai­vano	13185
aarai­varo	79113
aarama	162623
aaramake	8790
aarama­kero	26371
aaramaqi	123066
aaramaqiro	17580
aarana	74718
aaranahainaa	8790
aarana­hairo	8790
aara­qaa	8790
aaraqaa	654887
aaraqaahai	17580
aaraqaa­hairave	13185
aaraqaa­hairo	17580
aaraqaama	8790
aaraqaaqai	83509
aaraqai	17580
aarara	180203
aara­raiti	8790
aararaqaa	83509
aararaqaaqai	8790
aararaqai	8790
aarara­vata	17580
aara­reka	17580
aararera	8790
aarareva	52742
aaraukama	8790
aarauro	30766
aarava	202180
aara­vano	17580
aare	303270
aareha	145042
aarehama	74718
aareharo	52742
aarero	39556
aarevarave	8790
