Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 108628

aacer	138085
aacerit	82851
aamameak	55234
aany	18411
Aany	27617
aanyanar	18411
aanyu	36822
aanyun	616783
aanyunet	460286
aanyuneta	349817
aanyuni	36822
aanyunit	73645
aanyut	27617
aapecelun	18411
aapiar	18411
aapie	18411
aapikin	27617
aapu	202526
aarakin	18411
aarei	543138
aaria	18411
aario	110468
Aaron	46028
aaterot	46028
abala	147291
abalaŋ	64440
abalar	55234
abaŋaanut	101263
abar	266966
abarake	18411
abarara	18411
Abba	18411
abebenoka	18411
abebenokake	18411
abeit	2273815
abekon	18411
abekot	36822
Abel	36822
Abelekek	36822
abenyanut	82851
aberu	1141510
aberuke	18411
abilai	18411
abilakin	36822
abilio	18411
Abiud	18411
Abiya	27617
abokio	18411
aboko	147291
abokoi	27617
abolia	18411
aboliar	18411
aboliasio	55234
aboŋoki	18411
aboŋokin	36822
aboŋor	92057
Aboŋori	18411
aboŋun	46028
aboŋuni	36822
abu	5136797
abua	36822
abuai	18411
abukor	36822
abulesit	64440
abunenen	18411
abuni	239348
abunit	138085
abunore	552343
abunoreke	36822
abuonokin	82851
Aburaam	681223
aburun	46028
abwas	18411
abwoi	46028
abwoikin	27617
abwokon	18411
acago	27617
acakaki	36822
acakakin	92057
acakakini	27617
acakakinio	36822
acakanar	18411
acakar	36822
acamakin	18411
acamanara	18411
acamun	64440
acamunio	27617
acamunit	27617
acana	18411
ace	708841
acekiro	27617
acekirot	18411
acepakio	18411
acepesan	18411
acewaragan	18411
acilat	18411
acoa	589166
acoakec	18411
acodun	18411
acodunet	18411
acodunio	147291
acoit	82851
acok	18411
acuet	27617
acukuman	64440
adae	36822
adakakin	18411
adakunun	18411
adam	18411
Adam	82851
adau	119674
adaun	230143
adaut	73645
adedeŋ	156497
adek	27617
adeka	36822
adekesia	64440
adenari	73645
adenarin	64440
adepar	533932
adeudeu	18411
adiaka	36822
adiakanar	64440
adiakanareta	340611
adiakanaretake	27617
adiakanaretakec	27617
adiakanaretakus	55234
adiakanaretawok	64440
adiakar	635195
adiakaret	27617
adiakit	36822
adio	18411
adiokirot	202526
adiopak	27617
adiopeberu	18411
adiopekirot	73645
adiopepaaran	18411
adiopet	800898
adiopetekuan	55234
adioraito	18411
adioronis	46028
adis	27617
adoikin	46028
adokar	92057
adokun	27617
adol	110468
adolit	902161
